datetime,day,price
2015-01-01T00:00:00Z,2015-01-01,44.94
2015-01-01T01:00:00Z,2015-01-01,43.43
2015-01-01T02:00:00Z,2015-01-01,38.08
2015-01-01T03:00:00Z,2015-01-01,35.47
2015-01-01T04:00:00Z,2015-01-01,30.83
2015-01-01T05:00:00Z,2015-01-01,28.26
2015-01-01T06:00:00Z,2015-01-01,25.36
2015-01-01T07:00:00Z,2015-01-01,26.93
2015-01-01T08:00:00Z,2015-01-01,24.95
2015-01-01T09:00:00Z,2015-01-01,26.71
2015-01-01T10:00:00Z,2015-01-01,30.04
2015-01-01T11:00:00Z,2015-01-01,31.77
2015-01-01T12:00:00Z,2015-01-01,35.09
2015-01-01T13:00:00Z,2015-01-01,35.39
2015-01-01T14:00:00Z,2015-01-01,31.47
2015-01-01T15:00:00Z,2015-01-01,29.08
2015-01-01T16:00:00Z,2015-01-01,31.03
2015-01-01T17:00:00Z,2015-01-01,39.09
2015-01-01T18:00:00Z,2015-01-01,47.82
2015-01-01T19:00:00Z,2015-01-01,50.75
2015-01-01T20:00:00Z,2015-01-01,49.3
2015-01-01T21:00:00Z,2015-01-01,48.24
2015-01-01T22:00:00Z,2015-01-01,49.04
2015-01-01T23:00:00Z,2015-01-01,46.14
2015-01-02T00:00:00Z,2015-01-02,42.29
2015-01-02T01:00:00Z,2015-01-02,38.1
2015-01-02T02:00:00Z,2015-01-02,38.03
2015-01-02T03:00:00Z,2015-01-02,32.06
2015-01-02T04:00:00Z,2015-01-02,27.66
2015-01-02T05:00:00Z,2015-01-02,28
2015-01-02T06:00:00Z,2015-01-02,33.44
2015-01-02T07:00:00Z,2015-01-02,37.1
2015-01-02T08:00:00Z,2015-01-02,39.34
2015-01-02T09:00:00Z,2015-01-02,41.82
2015-01-02T10:00:00Z,2015-01-02,42.19
2015-01-02T11:00:00Z,2015-01-02,43
2015-01-02T12:00:00Z,2015-01-02,44.02
2015-01-02T13:00:00Z,2015-01-02,42.48
2015-01-02T14:00:00Z,2015-01-02,39.12
2015-01-02T15:00:00Z,2015-01-02,38.05
2015-01-02T16:00:00Z,2015-01-02,39.49
2015-01-02T17:00:00Z,2015-01-02,47.91
2015-01-02T18:00:00Z,2015-01-02,52.88
2015-01-02T19:00:00Z,2015-01-02,52.96
2015-01-02T20:00:00Z,2015-01-02,49.91
2015-01-02T21:00:00Z,2015-01-02,48.93
2015-01-02T22:00:00Z,2015-01-02,50
2015-01-02T23:00:00Z,2015-01-02,49.86
2015-01-03T00:00:00Z,2015-01-03,39.48
2015-01-03T01:00:00Z,2015-01-03,37.01
2015-01-03T02:00:00Z,2015-01-03,35.61
2015-01-03T03:00:00Z,2015-01-03,29.28
2015-01-03T04:00:00Z,2015-01-03,26.24
2015-01-03T05:00:00Z,2015-01-03,25.82
2015-01-03T06:00:00Z,2015-01-03,26.75
2015-01-03T07:00:00Z,2015-01-03,30.84
2015-01-03T08:00:00Z,2015-01-03,35.78
2015-01-03T09:00:00Z,2015-01-03,37.2
2015-01-03T10:00:00Z,2015-01-03,36.44
2015-01-03T11:00:00Z,2015-01-03,36.74
2015-01-03T12:00:00Z,2015-01-03,37.07
2015-01-03T13:00:00Z,2015-01-03,37
2015-01-03T14:00:00Z,2015-01-03,33.76
2015-01-03T15:00:00Z,2015-01-03,31.07
2015-01-03T16:00:00Z,2015-01-03,31.48
2015-01-03T17:00:00Z,2015-01-03,40.09
2015-01-03T18:00:00Z,2015-01-03,46.36
2015-01-03T19:00:00Z,2015-01-03,48.95
2015-01-03T20:00:00Z,2015-01-03,48.04
2015-01-03T21:00:00Z,2015-01-03,46
2015-01-03T22:00:00Z,2015-01-03,43.66
2015-01-03T23:00:00Z,2015-01-03,37.48
2015-01-04T00:00:00Z,2015-01-04,36.41
2015-01-04T01:00:00Z,2015-01-04,31.46
2015-01-04T02:00:00Z,2015-01-04,24.97
2015-01-04T03:00:00Z,2015-01-04,14.42
2015-01-04T04:00:00Z,2015-01-04,11.03
2015-01-04T05:00:00Z,2015-01-04,13.77
2015-01-04T06:00:00Z,2015-01-04,16.44
2015-01-04T07:00:00Z,2015-01-04,17.79
2015-01-04T08:00:00Z,2015-01-04,18.86
2015-01-04T09:00:00Z,2015-01-04,28.83
2015-01-04T10:00:00Z,2015-01-04,33.02
2015-01-04T11:00:00Z,2015-01-04,35.64
2015-01-04T12:00:00Z,2015-01-04,37.3
2015-01-04T13:00:00Z,2015-01-04,35.41
2015-01-04T14:00:00Z,2015-01-04,30.34
2015-01-04T15:00:00Z,2015-01-04,26.52
2015-01-04T16:00:00Z,2015-01-04,26.51
2015-01-04T17:00:00Z,2015-01-04,42.98
2015-01-04T18:00:00Z,2015-01-04,49.85
2015-01-04T19:00:00Z,2015-01-04,48.61
2015-01-04T20:00:00Z,2015-01-04,48.14
2015-01-04T21:00:00Z,2015-01-04,43.99
2015-01-04T22:00:00Z,2015-01-04,46.03
2015-01-04T23:00:00Z,2015-01-04,43.04
2015-01-05T00:00:00Z,2015-01-05,37.8
2015-01-05T01:00:00Z,2015-01-05,34.09
2015-01-05T02:00:00Z,2015-01-05,31.89
