datetime,day,price
2022-12-07T00:00:00Z,2022-12-07,338.47999999999996
2022-12-07T01:00:00Z,2022-12-07,334.03
2022-12-07T02:00:00Z,2022-12-07,326.28999999999996
2022-12-07T03:00:00Z,2022-12-07,314.42999999999995
2022-12-07T04:00:00Z,2022-12-07,310.09
2022-12-07T05:00:00Z,2022-12-07,332.05
2022-12-07T06:00:00Z,2022-12-07,387.45
2022-12-07T07:00:00Z,2022-12-07,449.06
2022-12-07T08:00:00Z,2022-12-07,472.27
2022-12-07T09:00:00Z,2022-12-07,469.64000000000004
2022-12-07T10:00:00Z,2022-12-07,460.96
2022-12-07T11:00:00Z,2022-12-07,453.45
2022-12-07T12:00:00Z,2022-12-07,439.17
2022-12-07T13:00:00Z,2022-12-07,433.97999999999996
2022-12-07T14:00:00Z,2022-12-07,439.15000000000003
2022-12-07T15:00:00Z,2022-12-07,447
2022-12-07T16:00:00Z,2022-12-07,450.39
2022-12-07T17:00:00Z,2022-12-07,466.28
2022-12-07T18:00:00Z,2022-12-07,467.3
2022-12-07T19:00:00Z,2022-12-07,453.97999999999996
2022-12-07T20:00:00Z,2022-12-07,427.7
2022-12-07T21:00:00Z,2022-12-07,371.16
2022-12-07T22:00:00Z,2022-12-07,360.74
2022-12-07T23:00:00Z,2022-12-07,355.47999999999996
2022-12-08T00:00:00Z,2022-12-08,336
2022-12-08T01:00:00Z,2022-12-08,338.37
2022-12-08T02:00:00Z,2022-12-08,328.03
2022-12-08T03:00:00Z,2022-12-08,316.55
2022-12-08T04:00:00Z,2022-12-08,305.40999999999997
2022-12-08T05:00:00Z,2022-12-08,325.86
2022-12-08T06:00:00Z,2022-12-08,370.18
2022-12-08T07:00:00Z,2022-12-08,412.87
2022-12-08T08:00:00Z,2022-12-08,437
2022-12-08T09:00:00Z,2022-12-08,433.08
2022-12-08T10:00:00Z,2022-12-08,430.89
2022-12-08T11:00:00Z,2022-12-08,433.44
2022-12-08T12:00:00Z,2022-12-08,427.41999999999996
2022-12-08T13:00:00Z,2022-12-08,429.67
2022-12-08T14:00:00Z,2022-12-08,440.91999999999996
2022-12-08T15:00:00Z,2022-12-08,453.91999999999996
2022-12-08T16:00:00Z,2022-12-08,459.64000000000004
2022-12-08T17:00:00Z,2022-12-08,473.52
2022-12-08T18:00:00Z,2022-12-08,469.25
2022-12-08T19:00:00Z,2022-12-08,450.02
2022-12-08T20:00:00Z,2022-12-08,429.01
2022-12-08T21:00:00Z,2022-12-08,377.39
2022-12-08T22:00:00Z,2022-12-08,370.36
2022-12-08T23:00:00Z,2022-12-08,364.5
2022-12-09T00:00:00Z,2022-12-09,351.55
2022-12-09T01:00:00Z,2022-12-09,332.64000000000004
2022-12-09T02:00:00Z,2022-12-09,321.7
2022-12-09T03:00:00Z,2022-12-09,315.01
2022-12-09T04:00:00Z,2022-12-09,322.75
2022-12-09T05:00:00Z,2022-12-09,335.4
2022-12-09T06:00:00Z,2022-12-09,385.39
2022-12-09T07:00:00Z,2022-12-09,460.98999999999995
2022-12-09T08:00:00Z,2022-12-09,474.62
2022-12-09T09:00:00Z,2022-12-09,476.06
2022-12-09T10:00:00Z,2022-12-09,474.83
2022-12-09T11:00:00Z,2022-12-09,474.64000000000004
