station/location,date,Bewoelkung,Niederschlag,Sonnenscheindauer,Temperatur,Station,year,month,day
CDF,1960-04-17,100,7.1,0,1.2,La Chaux-de-Fonds,1960,4,Ostern
CDF,1961-04-02,77,0.1,270,8.4,La Chaux-de-Fonds,1961,4,Ostern
CDF,1962-04-22,60,5.0,330,12,La Chaux-de-Fonds,1962,4,Ostern
CDF,1963-04-14,20,0.0,534,5.1,La Chaux-de-Fonds,1963,4,Ostern
CDF,1964-03-29,100,0.0,18,1.8,La Chaux-de-Fonds,1964,3,Ostern
CDF,1965-04-18,93,12.1,6,2.5,La Chaux-de-Fonds,1965,4,Ostern
CDF,1966-04-10,83,5.0,156,7,La Chaux-de-Fonds,1966,4,Ostern
CDF,1967-03-26,93,15.2,54,4.1,La Chaux-de-Fonds,1967,3,Ostern
CDF,1968-04-14,57,0.0,282,6.8,La Chaux-de-Fonds,1968,4,Ostern
CDF,1969-04-06,37,0.0,252,8.5,La Chaux-de-Fonds,1969,4,Ostern
CDF,1970-03-29,100,0.4,0,-0.1,La Chaux-de-Fonds,1970,3,Ostern
CDF,1971-04-11,79,0.0,468,9.3,La Chaux-de-Fonds,1971,4,Ostern
CDF,1972-04-02,75,0.0,96,7,La Chaux-de-Fonds,1972,4,Ostern
CDF,1973-04-22,38,0.6,450,1.2,La Chaux-de-Fonds,1973,4,Ostern
CDF,1974-04-14,0,0.0,612,6.6,La Chaux-de-Fonds,1974,4,Ostern
CDF,1975-03-30,54,0.0,330,-3.6,La Chaux-de-Fonds,1975,3,Ostern
CDF,1976-04-18,0,0.0,780,10.1,La Chaux-de-Fonds,1976,4,Ostern
CDF,1977-04-10,100,2.1,90,-4.5,La Chaux-de-Fonds,1977,4,Ostern
CDF,1978-03-26,100,10.6,36,-1.4,La Chaux-de-Fonds,1978,3,Ostern
CDF,1979-04-15,59,5.0,396,8.2,La Chaux-de-Fonds,1979,4,Ostern
CDF,1980-04-06,79,0.0,78,-2.1,La Chaux-de-Fonds,1980,4,Ostern
CDF,1981-04-19,88,0.8,208,-0.3,La Chaux-de-Fonds,1981,4,Ostern
CDF,1982-04-11,75,0.0,234,1.7,La Chaux-de-Fonds,1982,4,Ostern
CDF,1983-04-03,96,3.0,0,-1.4,La Chaux-de-Fonds,1983,4,Ostern
CDF,1984-04-22,25,0.0,705,8.9,La Chaux-de-Fonds,1984,4,Ostern
CDF,1985-04-07,67,28.7,412,8,La Chaux-de-Fonds,1985,4,Ostern
CDF,1986-03-30,96,9.0,165,0.4,La Chaux-de-Fonds,1986,3,Ostern
CDF,1987-04-19,54,9.1,423,10.6,La Chaux-de-Fonds,1987,4,Ostern
CDF,1988-04-03,58,0.0,309,3.4,La Chaux-de-Fonds,1988,4,Ostern
CDF,1989-03-26,8,0.0,675,7.5,La Chaux-de-Fonds,1989,3,Ostern
CDF,1990-04-15,92,10.1,69,1.1,La Chaux-de-Fonds,1990,4,Ostern
CDF,1991-03-31,17,0.0,672,2.6,La Chaux-de-Fonds,1991,3,Ostern
CDF,1992-04-19,92,0.3,30,5.1,La Chaux-de-Fonds,1992,4,Ostern
CDF,1993-04-11,96,12.3,177,3.9,La Chaux-de-Fonds,1993,4,Ostern
CDF,1994-04-03,75,0.7,247,-2.6,La Chaux-de-Fonds,1994,4,Ostern
CDF,1995-04-16,88,2.3,50,1.4,La Chaux-de-Fonds,1995,4,Ostern
CDF,1996-04-07,71,0.0,352,6.6,La Chaux-de-Fonds,1996,4,Ostern
CDF,1997-03-30,58,0.0,294,1.5,La Chaux-de-Fonds,1997,3,Ostern
CDF,1998-04-12,96,1.5,47,0,La Chaux-de-Fonds,1998,4,Ostern
CDF,1999-04-04,96,0.0,42,6.7,La Chaux-de-Fonds,1999,4,Ostern
CDF,2000-04-23,83,30.1,126,8.5,La Chaux-de-Fonds,2000,4,Ostern
CDF,2001-04-15,100,14.5,0,0,La Chaux-de-Fonds,2001,4,Ostern
CDF,2002-03-31,33,0.0,398,3.8,La Chaux-de-Fonds,2002,3,Ostern
CDF,2003-04-20,71,0.0,291,9,La Chaux-de-Fonds,2003,4,Ostern
CDF,2004-04-11,75,0.1,137,1.7,La Chaux-de-Fonds,2004,4,Ostern
CDF,2005-03-27,92,1.3,49,7.1,La Chaux-de-Fonds,2005,3,Ostern
CDF,2006-04-16,96,7.2,66,6.4,La Chaux-de-Fonds,2006,4,Ostern
CDF,2007-04-08,17,0.0,481,7.7,La Chaux-de-Fonds,2007,4,Ostern
CDF,2008-03-23,100,1.9,15,-4.2,La Chaux-de-Fonds,2008,3,Ostern
CDF,2009-04-12,79,0.0,170,9.8,La Chaux-de-Fonds,2009,4,Ostern
CDF,2010-04-04,58,4.5,153,2.3,La Chaux-de-Fonds,2010,4,Ostern
CDF,2011-04-24,75,0.0,139,10.8,La Chaux-de-Fonds,2011,4,Ostern
CDF,2012-04-08,-,0.7,43,-0.2,La Chaux-de-Fonds,2012,4,Ostern
CDF,2013-03-31,-,0.0,0,-1.9,La Chaux-de-Fonds,2013,3,Ostern
CDF,2014-04-20,-,5.6,491,6.9,La Chaux-de-Fonds,2014,4,Ostern
CDF,2015-04-05,-,0.0,262,-0.3,La Chaux-de-Fonds,2015,4,Ostern
CDF,2016-03-27,-,3.4,60,4.2,La Chaux-de-Fonds,2016,3,Ostern
CDF,2017-04-16,-,5.6,22,4.7,La Chaux-de-Fonds,2017,4,Ostern
CDF,2018-04-01,-,1.8,16,-0.1,La Chaux-de-Fonds,2018,4,Ostern
CDF,2019-04-21,-,0.0,277,11.6,La Chaux-de-Fonds,2019,4,Ostern
CDF,2020-04-12,-,0.0,318,9.8,La Chaux-de-Fonds,2020,4,Ostern
CDF,2021-04-04,-,0.0,699,3.6,La Chaux-de-Fonds,2021,4,Ostern
CDF,2022-04-17,-,0.0,730,7.3,La Chaux-de-Fonds,2022,4,Ostern
CDF,2023-04-09,-,0.0,644,5.0,La Chaux-de-Fonds,2023,4,Ostern
SAE,1960-04-17,100,2.1,0,-7.7,Säntis,1960,4,Ostern
SAE,1961-04-02,97,21.3,84,-2.9,Säntis,1961,4,Ostern
SAE,1962-04-22,33,0,738,3,Säntis,1962,4,Ostern
SAE,1963-04-14,100,2.1,36,-6.5,Säntis,1963,4,Ostern
SAE,1964-03-29,53,0,348,-6.1,Säntis,1964,3,Ostern
SAE,1965-04-18,100,46.9,0,-7.4,Säntis,1965,4,Ostern
SAE,1966-04-10,100,19.6,0,-4.4,Säntis,1966,4,Ostern
SAE,1967-03-26,80,12.7,342,-4.2,Säntis,1967,3,Ostern
SAE,1968-04-14,37,0,684,-3.8,Säntis,1968,4,Ostern
SAE,1969-04-06,50,0,72,-2.4,Säntis,1969,4,Ostern
SAE,1970-03-29,100,5.6,0,-12.9,Säntis,1970,3,Ostern
SAE,1971-04-11,34,0,606,-1.7,Säntis,1971,4,Ostern
SAE,1972-04-02,100,21.2,0,-0.6,Säntis,1972,4,Ostern
SAE,1973-04-22,41,0,702,-9.7,Säntis,1973,4,Ostern
SAE,1974-04-14,100,0,144,-5,Säntis,1974,4,Ostern
SAE,1975-03-30,100,4.5,0,-11.3,Säntis,1975,3,Ostern
SAE,1976-04-18,9,0,768,-0.2,Säntis,1976,4,Ostern
SAE,1977-04-10,91,3.8,0,-13.4,Säntis,1977,4,Ostern
SAE,1978-03-26,100,22.1,0,-10.4,Säntis,1978,3,Ostern
SAE,1979-04-15,59,0,366,-1.9,Säntis,1979,4,Ostern
SAE,1980-04-06,79,1.3,120,-13.1,Säntis,1980,4,Ostern
SAE,1981-04-19,92,1.2,36,-11.8,Säntis,1981,4,Ostern
SAE,1982-04-11,100,12.3,0,-9.4,Säntis,1982,4,Ostern
SAE,1983-04-03,100,28.9,6,-9.2,Säntis,1983,4,Ostern
SAE,1984-04-22,46,0,748,1.3,Säntis,1984,4,Ostern
SAE,1985-04-07,42,0,623,-3.2,Säntis,1985,4,Ostern
SAE,1986-03-30,88,4.7,111,-9.1,Säntis,1986,3,Ostern
SAE,1987-04-19,79,9.3,207,0.7,Säntis,1987,4,Ostern
SAE,1988-04-03,75,0,225,-5,Säntis,1988,4,Ostern
SAE,1989-03-26,13,0,717,1,Säntis,1989,3,Ostern
SAE,1990-04-15,96,36.8,0,-7.5,Säntis,1990,4,Ostern
SAE,1991-03-31,13,0,678,-4.2,Säntis,1991,3,Ostern
SAE,1992-04-19,100,13.6,0,-2.3,Säntis,1992,4,Ostern
SAE,1993-04-11,96,10.2,0,-6,Säntis,1993,4,Ostern
