COMMUNE_CODE,COMMUNE_NOM,NATIONALITE_ISO3,NATIONALITE_NOM,NOMBRE_TOTAL
1101,Beaufort,ERI,érythrée,32
1101,Beaufort,ETH,éthiopienne,7
1101,Beaufort,AFG,afghane,16
1101,Beaufort,ALB,albanaise,7
1101,Beaufort,DZA,algérienne,6
1101,Beaufort,DEU,allemande,103
1101,Beaufort,USA,américaine,11
1101,Beaufort,AGO,angolaise,1
1101,Beaufort,XXA,apatride,2
1101,Beaufort,AUT,autrichienne,8
1101,Beaufort,BLR,bélarusse,1
1101,Beaufort,BEL,belge,57
1101,Beaufort,GNB,bissau-guinéenne,3
1101,Beaufort,BRA,brésilienne,1
1101,Beaufort,GBR,britannique,27
1101,Beaufort,BGR,bulgare,7
1101,Beaufort,CMR,camerounaise,5
1101,Beaufort,CAN,canadienne,1
1101,Beaufort,CPV,cap-verdienne,6
1101,Beaufort,CAF,centrafricaine,1
1101,Beaufort,CHN,chinoise,9
1101,Beaufort,COL,colombienne,1
1101,Beaufort,COD,congolaise (Rép. Dém),2
1101,Beaufort,HRV,croate,7
1101,Beaufort,ESP,espagnole,10
1101,Beaufort,EST,estonienne,3
1101,Beaufort,FRA,française,87
1101,Beaufort,GMB,gambienne,2
1101,Beaufort,GRC,grecque,11
1101,Beaufort,GIN,guinéenne,1
1101,Beaufort,HUN,hongroise,9
1101,Beaufort,XXX,indéterminée,7
1101,Beaufort,IND,indienne,1
1101,Beaufort,IDN,indonésienne,1
1101,Beaufort,IRQ,iraquienne,6
1101,Beaufort,IRL,irlandaise,10
1101,Beaufort,ISL,islandaise,1
1101,Beaufort,ITA,italienne,49
1101,Beaufort,CIV,ivoirienne,1
1101,Beaufort,XXK,kosovare,4
1101,Beaufort,LTU,lituanienne,4
1101,Beaufort,LUX,luxembourgeoise,1781
1101,Beaufort,MKD,macédonienne,4
1101,Beaufort,MYS,malaisienne,1
1101,Beaufort,MLT,maltaise,2
1101,Beaufort,MAR,marocaine,2
1101,Beaufort,MUS,mauricienne,4
