listing_no,postcode,price_chf,description,canton,long_title,seller,price_with_utilities,object,category,rooms,space_sqm,characteristics,availability,last_change,listing_number,available_as_of
1,2606,1000,"Beau 4.5 pièces en très bon état avec salle de bain et WC séparés, balcon au sud, quartier calme et ensoleillé avec une vue sur la montagne. Place de parc comprise. Aire de jeux pour enfants. Le loyer est de 1000 CHF + acompte charges de 200 CHF.",Bern,Appartement à louer,Claudine Marcionetti,1000,Wohnung,Wohnung,4.5,90,Balkon / Terrasse / Sitzplatz Garage / Parkplatz,Ab sofort,2023-05-02,47772030,NA
3,2606,1460,"4-Zimmer-Wohnung | OG | In kleinem, sonnig gelegenen MWH im Grünen | Wohn | Esszimmer | Entrée | Böden Parkett Eiche | + 3 Zimmer | Bad und sep. WC | Balkon | Keller | 2 WM mit 2 Wäschetrocknungsräumen | Veloraum | Einstellhalle 2 EHP verfügbar | CHF 104 | CHF 120 |",Bern,ZU VERMIETEN 4-Zimmer-Wohnung,Willy Gerber,1460,Wohnung,Wohnung,4,98,Balkon / Terrasse / Sitzplatz Garage / Parkplatz Lift,Ab Datum,2023-05-02,48090835,15.07.2023
4,3203,1300,"L'appartement se situe à 200m du village de Renan(BE) dans une ancienne ferme, au 2eme étage. Il comprend un jardin, une place pour pique-nique avec abri et jeux pour enfants. Une 6 eme pièce est possible ainsi que des places de parking supplémentaires moyennant un loyer en plus.",Bern,A louer bel appartement ancien 5-6 pièces,Tschannen,1300,Wohnung,Wohnung,5,120,Balkon / Terrasse / Sitzplatz Garage / Parkplatz Haustiere erlaubt,Ab Datum,2023-05-02,47642522,01.05.2023
5,2616,1960,"Magnifique appartement de 3 pièces 1/2 au rez-de-chaussée, avec cuisine aménagée ouverte sur séjour à larges baies vitrées, salle de bain avec baignoire, machine à laver et séchoir. Grandes armoires encastrées dans le hall. Terrasse et jardin privatif. Grande cave. Ascenseur. Location CHF 1760.00 + acompte charges CHF 200.00. Garage collectif en sous-sol (place de parc CHF 130.-/mois).",Bern,A louer à La Neuveville,Jean-Louis Frei,1960,Wohnung,Wohnung,3.5,80,Balkon / Terrasse / Sitzplatz Lift,Ab Datum,2023-05-02,47829712,15.08.2023
7,3063,1690,Bel appartement spacieux à louer dès le 1er juillet.,Bern,Appartement 5 pièces au 1er étage,Waser David,1690,Wohnung,Wohnung,5,NA,NA,Ab Datum,2023-05-02,47122858,01.07.2023
8,2606,1860,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,"neu renovierte, schöne 4,5-Zi.Whg ***Gartensitzplatz***",NA,1860,Wohnung,Wohnung,4.5,90,NA,NA,2023-05-02,48087377,NA
9,3063,1680,"Per 01.08.2023 Vermieten wir an der Weissensteinstrasse 18 im Fischermätterliquartier eine renovierte 3,5 Zimmer-Wohnung mit viel Charme.",Bern,3.5 Zimmerwohnung,NA,1680,Wohnung,Wohnung,3.5,82,NA,NA,2023-05-02,48087344,NA
10,3008,1760,"An ruhiger, zentraler Lage, neu renovierte 4-Z-W, Hochparterre, 84m2, Parkettboden, Cheminéeofen (wird im Juni eingebaut). Zusätzlich Balkon, Kellerzimmer, Keller, Estrich und Garage. Schwimmbad zur gemeinsamen Benützung. Nur wenige Gehminuten zu ÖV und Einkaufszentrum. Besichtigung nach Voranmeldung.",Bern,"Zentral gelegene, ruhige 4-Z-Wohung",NA,1760,Wohnung,Wohnung,4,84,NA,NA,2023-05-02,48087339,NA
11,3047,1280,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Hübsche Dachwohnung,NA,1280,Wohnung,Wohnung,3,70,NA,NA,2023-05-02,48087303,NA
12,3018,1970,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Wohnen im beliebten Fischermätteliquartier!,NA,1970,Wohnung,Wohnung,4,NA,NA,NA,2023-05-02,48087300,NA
13,3007,560,NA,Bern,Befristete helle 1-Zimmer-Wohnung in Stadtnähe,NA,560,Wohnung,Wohnung,1,19,NA,NA,2023-05-02,48087295,NA
14,3084,1968,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Attikawohnung - Vielleicht Ihr neues Zuhause?,NA,1968,Wohnung,Attikawohnung,4.5,98,NA,NA,2023-05-02,48087293,NA
15,3084,1790,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Attikatraum in Gümligen!,NA,1790,Wohnung,Attikawohnung,3,63,NA,NA,2023-05-02,48087291,NA
16,3073,1105,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Am Fusse des Bözingenberges - modern und zentral wohnen,NA,1105,Wohnung,Wohnung,3,71,NA,NA,2023-05-02,48087241,NA
17,2504,1100,Diese wunderschöne 2.5 Zimmer-Wohnung wurde letztes renoviert.,Bern,Schöne 2.5 Zimmer Wohnung per sofort zu vermieten,NA,1100,Wohnung,Wohnung,2.5,68,NA,NA,2023-05-02,48087231,NA
18,3380,1021,"Sehr schöne, helle und geräumige 2.5-Zimmer-Wohnung an ruhiger und doch zentraler Lage",Bern,2.5-Zimmer-Wohnung an der Sonnenstrasse in Biel,NA,1021,Wohnung,Wohnung,2.5,52,NA,NA,2023-05-02,48087211,NA
