listing_no,price_chf,condition,displacement,year,brand,model,mileage_km,transmission,fuel,colour,last_edited,id,mfk,drive
1,6500,Neuwertig ,500,2014,YAMAHA,450 wrf,5660,Schaltgetriebe,Benzin,Blau,2022-09-05,44818239,no,NA
2,5500,Geringe Gebrauchsspuren ,800,2014,YAMAHA,Mt-07,41000,NA,Benzin,Rot,2022-09-05,44818276,no,NA
3,4000,Geringe Gebrauchsspuren ,600,2013,YAMAHA,NA,20000,Schaltgetriebe,Benzin,Schwarz,2022-09-05,44818264,yes,NA
4,1500,Neuwertig ,1200,1989,YAMAHA,FJ 1200,7156,Schaltgetriebe,Benzin,Grau,2022-09-05,44818210,no,Kette
5,2400,Geringe Gebrauchsspuren ,50,2013,BETA,50 RR,14500,Schaltgetriebe,2-Takt-Gemisch,Rot,2022-09-05,44818257,no,NA
6,29000,Neuwertig ,1000,2019,POLARIS,RZR 1000 turbo,2700,Automatik,NA,NA,2022-09-05,44818038,yes,NA
7,5000,Geringe Gebrauchsspuren ,125,2019,NA,Ktm duke,3600,NA,Benzin,Orange,2022-09-05,44807053,no,NA
8,1100,Geringe Gebrauchsspuren ,800,NA,NA,NA,60000,NA,NA,NA,2022-09-05,44818161,no,NA
9,5300,Geringe Gebrauchsspuren ,350,2017,YAMAHA,MT03,8100,Schaltgetriebe,Benzin,Grau,2022-09-05,44818123,no,Kette
10,10000,Neu ,750,2021,HUSQVARNA,701,5500,Schaltgetriebe,Benzin,NA,2022-09-05,44552675,yes,Hinterradantrieb
11,6700,Neuwertig ,750,2019,YAMAHA,MT 07 ABS,1800,NA,NA,Grau,2022-09-05,44818114,yes,NA
13,5400,Neuwertig ,1000,2007,YAMAHA,Fazer,41500,Schaltgetriebe,Benzin,Blau,2022-09-05,44817985,no,Hinterradantrieb
14,3490,Geringe Gebrauchsspuren ,600,NA,NA,NA,3500,NA,NA,NA,2022-09-05,44818044,no,NA
16,5000,Geringe Gebrauchsspuren ,125,2016,KTM,Duke Weis ABS,18500,Schaltgetriebe,Benzin,Weiss,2022-09-05,44817993,no,Kette
17,2950,Geringe Gebrauchsspuren ,600,2001,HONDA,Transalp Xl650V,61500,Schaltgetriebe,Benzin,Blau,2022-09-05,44817868,yes,Hinterradantrieb
18,7000,Geringe Gebrauchsspuren ,600,2019,HONDA,CB650R,26800,NA,NA,Rot,2022-09-05,44503209,no,NA
20,4000,Geringe Gebrauchsspuren ,600,2009,SUZUKI,SFV 650 Gladius,32840,Schaltgetriebe,Benzin,NA,2022-09-05,44817663,yes,Kette
21,10500,Neuwertig ,1200,2016,HARLEY-DAVIDSON,Forty Height,12000,NA,NA,NA,2022-09-05,44817668,no,NA
23,2900,Geringe Gebrauchsspuren ,250,2009,SMC (SM),blast,7800,Schaltgetriebe,Benzin,NA,2022-09-05,44817470,no,Kette
24,1700,Geringe Gebrauchsspuren ,125,2014,Mash,Seventy,3776,NA,NA,Orange,2022-09-05,44807879,no,NA
25,4500,Geringe Gebrauchsspuren ,500,NA,HUSQVARNA,Sm511,9800,Schaltgetriebe,Benzin,Schwarz,2022-09-05,44817621,no,Kette
26,7000,Neu ,800,2018,KTM,Duke,11500,Schaltgetriebe,Benzin,Orange,2022-09-05,44817578,yes,Kette
27,8500,Neuwertig ,1100,1996,BMW,K1100rs,53500,Schaltgetriebe,Benzin,Blau,2022-09-05,44817592,yes,Antriebswelle / Kardanwelle
28,8800,Geringe Gebrauchsspuren ,750,2022,YAMAHA,MT-07,1900,Schaltgetriebe,Benzin,Schwarz,2022-09-05,44388197,no,NA
29,11000,Neuwertig ,500,2018,YAMAHA,WRF,4500,Schaltgetriebe,Benzin,Blau,2022-09-05,43976968,no,Kette
30,8800,Neu ,900,2019,YAMAHA,Niken,14487,NA,NA,NA,2022-09-05,44301218,no,NA
31,7800,Neu ,750,2021,SUZUKI,Gsx-s,5076,Schaltgetriebe,Benzin,Schwarz,2022-09-05,44817485,yes,Kette
34,7800,Neuwertig ,900,2020,KAWASAKI,Z,14000,Schaltgetriebe,Benzin,Schwarz,2022-09-05,44817221,yes,Kette
36,14900,Neuwertig ,800,2021,BMW,GS adventure,6550,Schaltgetriebe,Benzin,Grau,2022-09-05,44754316,no,NA
37,18900,Geringe Gebrauchsspuren ,1500,2016,HARLEY-DAVIDSON,Softail Breakout,38000,Schaltgetriebe,Benzin,Schwarz,2022-09-05,44817050,yes,Riemen / Zahnriemen
38,4600,Neuwertig ,1000,2009,KAWASAKI,Z 1000,13100,Schaltgetriebe,Benzin,Mehrfarbig,2022-09-05,44817133,yes,Hinterradantrieb
39,8000,Geringe Gebrauchsspuren ,1200,2012,BMW,GS Adventure,70000,NA,Benzin,NA,2022-09-05,44384780,yes,Antriebswelle / Kardanwelle
40,5000,Neuwertig ,500,2019,BENELLI,TRK-X,9300,Schaltgetriebe,Benzin,Mehrfarbig,2022-09-05,44817002,yes,Kette
41,3500,Geringe Gebrauchsspuren ,125,1993,HONDA,Nsr,17000,Schaltgetriebe,Benzin,Mehrfarbig,2022-09-05,44816825,no,NA
42,2700,Neuwertig ,1100,2003,BMW,R1150R,24500,NA,NA,Silber,2022-09-05,44816868,no,NA
44,8400,Neuwertig ,1200,2007,HARLEY-DAVIDSON,XL1200c Sportster,11570,Schaltgetriebe,Benzin,Blau,2022-09-05,44816835,yes,Riemen / Zahnriemen
45,3000,Geringe Gebrauchsspuren ,1000,2004,SUZUKI,V Storm,31500,Schaltgetriebe,Benzin,Gelb,2022-09-05,44184444,yes,Kette
46,5500,Neuwertig ,600,2007,HONDA,600 RR PC 40,24910,Schaltgetriebe,Benzin,Rot,2022-09-05,44816720,yes,Kette
48,7000,Geringe Gebrauchsspuren ,600,2021,KAWASAKI,Z650 2021,1500,Schaltgetriebe,Benzin,Schwarz,2022-09-05,44806759,yes,Kette
49,1700,Neuwertig ,500,2003,KAWASAKI,Er-5,23000,Schaltgetriebe,Benzin,Grau,2022-09-05,44816486,yes,Hinterradantrieb
50,4900,Neuwertig ,600,2006,YAMAHA,Yzf,15500,NA,NA,NA,2022-09-05,44816445,no,NA
51,6800,Geringe Gebrauchsspuren ,1200,2008,HARLEY-DAVIDSON,Sportser,14750,Schaltgetriebe,Benzin,NA,2022-09-05,44010179,no,NA
52,3500,Neu ,125,1955,GILERA,Sport,51432,Schaltgetriebe,Benzin,Bordeaux,2022-09-05,42167549,yes,Kette
55,2800,Geringe Gebrauchsspuren ,1100,NA,BMW,R 1100 RT,65000,NA,NA,Rot,2022-09-05,44816253,no,NA
56,4600,Neuwertig ,125,2022,FANTIC,XMF,8900,Schaltgetriebe,Benzin,NA,2022-09-05,44770263,no,NA
57,3100,Geringe Gebrauchsspuren ,600,2003,HONDA,CB600F,35000,Schaltgetriebe,Benzin,Schwarz,2022-09-05,44816193,yes,Kette
59,3900,Geringe Gebrauchsspuren ,600,2005,HUSQVARNA,610 sm,22000,NA,Benzin,Gelb,2022-09-05,44816074,no,Hinterradantrieb
61,4850,Neuwertig ,1300,2010,BMW,K1300R,128000,Schaltgetriebe,Benzin,Grau,2022-09-05,44806025,yes,Antriebswelle / Kardanwelle
62,8300,Geringe Gebrauchsspuren ,750,2020,YAMAHA,MT-07 ABS,3900,NA,NA,Schwarz,2022-09-05,44815991,no,NA
63,28500,Neu ,1800,NA,HARLEY-DAVIDSON,Street glide FLHXS,17000,Schaltgetriebe,Benzin,Orange,2022-09-05,44767133,no,Riemen / Zahnriemen
64,7500,Geringe Gebrauchsspuren ,900,2015,YAMAHA,Mt 09 tracer,35000,Schaltgetriebe,Benzin,Grau,2022-09-05,44805661,yes,NA
65,6500,Neuwertig ,600,2009,HONDA,CBR,7853,Schaltgetriebe,Benzin,Rot,2022-09-05,44815704,yes,NA
66,6500,Geringe Gebrauchsspuren ,900,2013,HARLEY-DAVIDSON,883,30700,Schaltgetriebe,Benzin,Schwarz,2022-09-05,44562888,yes,NA
67,1700,Geringe Gebrauchsspuren ,600,1991,HONDA,NX 659,50000,Schaltgetriebe,Benzin,Weiss,2022-09-05,44815330,yes,Hinterradantrieb
68,10700,Geringe Gebrauchsspuren ,1300,2013,HARLEY-DAVIDSON,XL 1200 X,24200,NA,NA,Schwarz,2022-09-05,44815674,no,NA
69,4900,Geringe Gebrauchsspuren ,750,2017,YAMAHA,Mt 07,29000,NA,NA,NA,2022-09-05,44722544,no,NA
70,7800,Geringe Gebrauchsspuren ,600,1983,YAMAHA,XS 650 Se,23700,Schaltgetriebe,Benzin,Schwarz,2022-09-05,44752394,yes,Kette
73,3200,Geringe Gebrauchsspuren ,750,1999,YAMAHA,XV Virago Interstate,35000,Schaltgetriebe,Benzin,Mehrfarbig,2022-09-05,44815436,no,Antriebswelle / Kardanwelle
74,23500,Neu ,1800,2020,HONDA,Goldwing GL 1800 DA DTC,12000,Automatik,Benzin,NA,2022-09-05,44779403,no,NA
75,7200,Geringe Gebrauchsspuren ,900,2020,BMW,F900 XR,55000,NA,NA,NA,2022-09-05,44779672,yes,NA
76,6900,Neu ,800,2011,DUCATI,Hypermotard 796,18000,Schaltgetriebe,Benzin,Rot,2022-09-05,43815328,no,Kette
77,1600,Geringe Gebrauchsspuren ,125,2016,YAMAHA,YBR 125,7800,Schaltgetriebe,Benzin,Grau,2022-09-05,44815453,yes,Kette
79,5500,Geringe Gebrauchsspuren ,250,1950,BMW,R 25,22000,Schaltgetriebe,Benzin,Schwarz,2022-09-05,44792999,yes,NA
80,12900,Neuwertig ,900,2021,YAMAHA,XSR900,5200,Schaltgetriebe,Benzin,Schwarz,2022-09-05,44477120,no,Kette
82,5500,Geringe Gebrauchsspuren ,250,1950,BMW,R 25,22000,Schaltgetriebe,Benzin,Schwarz,2022-09-05,44792999,yes,NA
83,12900,Neuwertig ,900,2021,YAMAHA,XSR900,5200,Schaltgetriebe,Benzin,Schwarz,2022-09-05,44477120,no,Kette
84,12000,Neuwertig ,1000,2016,YAMAHA,MT 10,6600,Schaltgetriebe,Benzin,Blau,2022-09-05,44815220,yes,Kette
85,9900,Geringe Gebrauchsspuren ,1300,2013,HARLEY-DAVIDSON,XL 1200 X,24200,NA,NA,Schwarz,2022-09-05,44815167,no,NA
87,12500,Neu ,1300,2013,MOTO GUZZI,NA,8200,Schaltgetriebe,Benzin,Schwarz,2022-09-05,44712798,yes,NA
