Age;Sexe;Nationalite;Quartier
0;M;A;GASPERICH
0;M;A;NEUDORF/WEIMERSHOF
0;M;A,DK;WEIMERSKIRCH
0;M;APA;BONNEVOIE-SUD
0;M;APA;BELAIR
0;M;APA;BONNEVOIE-SUD
0;F;AUS;LIMPERTSBERG
0;F;B;WEIMERSKIRCH
0;F;B;LIMPERTSBERG
0;M;B;EICH
0;M;B;ROLLINGERGRUND/BELAIR-NORD
0;M;B;BONNEVOIE-NORD/VERLORENKOST
0;M;B;BONNEVOIE-SUD
0;M;B;CESSANGE
0;F;B;GARE
0;M;B;KIRCHBERG
0;F;B;GARE
0;F;B;BELAIR
0;M;B;LIMPERTSBERG
0;M;B;GASPERICH
0;F;B;GARE
0;F;B;NEUDORF/WEIMERSHOF
0;F;B;PFAFFENTHAL
0;M;B;BELAIR
0;M;B;WEIMERSKIRCH
0;F;B;BELAIR
0;F;B;BELAIR
0;M;B;BELAIR
0;F;B;BEGGEN
0;M;B;GASPERICH
0;M;B;HOLLERICH
0;F;B;BONNEVOIE-SUD
0;F;B;WEIMERSKIRCH
0;M;B;ROLLINGERGRUND/BELAIR-NORD
0;F;B;BONNEVOIE-SUD
0;M;B;GARE
0;M;B;EICH
0;M;B;GASPERICH
0;F;B;DOMMELDANGE
0;F;B;WEIMERSKIRCH
0;M;B,DOM;BONNEVOIE-NORD/VERLORENKOST
0;M;B,F;BELAIR
0;F;B,F;BELAIR
0;M;B,F;CESSANGE
0;F;B,F;WEIMERSKIRCH
0;M;B,F;MERL
0;F;B,F;MERL
0;M;B,F;BELAIR
0;F;B,F;GASPERICH
0;M;B,F;BELAIR
0;F;B,F;KIRCHBERG
0;M;B,F;BONNEVOIE-NORD/VERLORENKOST
0;M;B,F;GASPERICH
0;M;B,F;EICH
0;M;B,F;BONNEVOIE-SUD
0;F;B,F;BONNEVOIE-SUD
0;M;B,F;GARE
0;F;B,F;HOLLERICH
0;M;B,F;MERL
0;M;B,F;WEIMERSKIRCH
0;M;B,F;BONNEVOIE-SUD
0;M;B,F;LIMPERTSBERG
0;F;B,F;HOLLERICH
0;M;B,FIN;LIMPERTSBERG
0;F;B,GR;HOLLERICH
0;M;B,GR;NEUDORF/WEIMERSHOF
0;M;B,I;KIRCHBERG
0;M;B,I;BONNEVOIE-SUD
0;M;B,I;ROLLINGERGRUND/BELAIR-NORD
0;F;B,I;GARE
0;M;B,LVA;CESSANGE
0;F;B,MA;WEIMERSKIRCH
0;F;B,N;NEUDORF/WEIMERSHOF
0;F;B,P;BEGGEN
0;F;B,RI;HOLLERICH
0;F;B,RUS;HOLLERICH
0;M;B,TN;LIMPERTSBERG
0;F;B,YV;KIRCHBERG
0;M;BD;MERL
0;M;BFA;BONNEVOIE-SUD
0;F;BG;KIRCHBERG
0;M;BG;NEUDORF/WEIMERSHOF
0;F;BG;LIMPERTSBERG
0;M;BG;BONNEVOIE-SUD
0;F;BG;MERL
0;M;BG;GASPERICH
0;F;BG;KIRCHBERG
0;F;BG;HOLLERICH
0;M;BG,E;LIMPERTSBERG
0;F;BG,F;KIRCHBERG
0;M;BG,I;NEUDORF/WEIMERSHOF
0;M;BG,I;CESSANGE
0;M;BIH;BONNEVOIE-NORD/VERLORENKOST
0;F;BIH;CENTS
0;F;BIH;CENTS
0;M;BIH;GASPERICH
0;M;BIH,MNE;GARE
0;F;BR;BELAIR
0;M;BR;BEGGEN
0;M;CDN;LIMPERTSBERG
0;F;CDN;CENTS
0;F;CH;HOLLERICH
0;M;CO;LIMPERTSBERG
0;M;CV;BONNEVOIE-SUD
0;F;CV;BELAIR
0;M;CV;GASPERICH
0;M;CV;GARE
0;M;CV;BONNEVOIE-SUD
0;F;CV;GARE
0;M;CV;GARE
0;M;CY,GR;CENTS
0;F;CZ;GARE
0;M;CZ;KIRCHBERG
0;F;CZ;BELAIR
0;F;CZ;ROLLINGERGRUND/BELAIR-NORD
0;F;CZ;BELAIR
0;F;CZ;HOLLERICH
0;F;CZ;ROLLINGERGRUND/BELAIR-NORD
0;F;CZ;BELAIR
0;M;D;BELAIR
0;F;D;CENTS
0;M;D;BONNEVOIE-NORD/VERLORENKOST
0;F;D;MUEHLENBACH
0;F;D;MUEHLENBACH
0;M;D;LIMPERTSBERG
0;M;D;BELAIR
0;F;D;HOLLERICH
0;M;D;ROLLINGERGRUND/BELAIR-NORD
0;F;D;LIMPERTSBERG
0;M;D;EICH
0;F;D;BELAIR
0;M;D;BELAIR
0;F;D;GASPERICH
0;M;D;GARE
0;M;D;GASPERICH
