DATAFLOW,FREQ: Frequency,SPECIFICATION: Specification,TIME_PERIOD: Time period,OBS_VALUE,OBS_STATUS: Observation status,DECIMALS: Decimals,NOTE_YEAR_2: Note year 2,NOTE_YEAR_1: Note year 1,NOTE_SPECIFICATION_2: Note specification 2,NOTE_SPECIFICATION_1: Note specification 1
LU1:DF_A4500(1.0),A: Annual,L03: Quantity of electricity sold (in MWh),2007,,,0: Zero,,,,
LU1:DF_A4500(1.0),A: Annual,L03: Quantity of electricity sold (in MWh),2008,,,0: Zero,,,,
LU1:DF_A4500(1.0),A: Annual,L03: Quantity of electricity sold (in MWh),2009,,,0: Zero,,,,
LU1:DF_A4500(1.0),A: Annual,L03: Quantity of electricity sold (in MWh),2010,,,0: Zero,,,,
LU1:DF_A4500(1.0),A: Annual,L03: Quantity of electricity sold (in MWh),2011,,,0: Zero,,,,
LU1:DF_A4500(1.0),A: Annual,L03: Quantity of electricity sold (in MWh),2012,,,0: Zero,,,,
LU1:DF_A4500(1.0),A: Annual,L03: Quantity of electricity sold (in MWh),2013,,,0: Zero,,,,
LU1:DF_A4500(1.0),A: Annual,L03: Quantity of electricity sold (in MWh),2014,,,0: Zero,,,,
LU1:DF_A4500(1.0),A: Annual,L03: Quantity of electricity sold (in MWh),2015,,,0: Zero,,,,
LU1:DF_A4500(1.0),A: Annual,L03: Quantity of electricity sold (in MWh),2016,,,0: Zero,,,,
LU1:DF_A4500(1.0),A: Annual,L03: Quantity of electricity sold (in MWh),2017,,,0: Zero,,,,
LU1:DF_A4500(1.0),A: Annual,L03: Quantity of electricity sold (in MWh),2018,,,0: Zero,,,,
LU1:DF_A4500(1.0),A: Annual,L03: Quantity of electricity sold (in MWh),2019,,,0: Zero,,,,
LU1:DF_A4500(1.0),A: Annual,L03: Quantity of electricity sold (in MWh),2020,,,0: Zero,,,,
LU1:DF_A4500(1.0),A: Annual,L03: Quantity of electricity sold (in MWh),2021,,,0: Zero,,,,
LU1:DF_A4500(1.0),A: Annual,L02: Number of subscriptions,2007,,,0: Zero,,,,
LU1:DF_A4500(1.0),A: Annual,L02: Number of subscriptions,2008,,,0: Zero,,,,
LU1:DF_A4500(1.0),A: Annual,L02: Number of subscriptions,2009,,,0: Zero,,,,
LU1:DF_A4500(1.0),A: Annual,L02: Number of subscriptions,2010,,,0: Zero,,,,
LU1:DF_A4500(1.0),A: Annual,L02: Number of subscriptions,2011,,,0: Zero,,,,
LU1:DF_A4500(1.0),A: Annual,L02: Number of subscriptions,2012,,,0: Zero,,,,
LU1:DF_A4500(1.0),A: Annual,L02: Number of subscriptions,2013,,,0: Zero,,,,
LU1:DF_A4500(1.0),A: Annual,L02: Number of subscriptions,2014,,,0: Zero,,,,
LU1:DF_A4500(1.0),A: Annual,L02: Number of subscriptions,2015,,,0: Zero,,,,
LU1:DF_A4500(1.0),A: Annual,L02: Number of subscriptions,2016,,,0: Zero,,,,
LU1:DF_A4500(1.0),A: Annual,L02: Number of subscriptions,2017,,,0: Zero,,,,
LU1:DF_A4500(1.0),A: Annual,L02: Number of subscriptions,2018,,,0: Zero,,,,
LU1:DF_A4500(1.0),A: Annual,L02: Number of subscriptions,2019,,,0: Zero,,,,
LU1:DF_A4500(1.0),A: Annual,L02: Number of subscriptions,2020,,,0: Zero,,,,
LU1:DF_A4500(1.0),A: Annual,L02: Number of subscriptions,2021,,,0: Zero,,,,
LU1:DF_A4500(1.0),A: Annual,SL06: Residential subscriptions,2007,836900,,0: Zero,,,,
LU1:DF_A4500(1.0),A: Annual,SL06: Residential subscriptions,2008,860500,,0: Zero,,,,
LU1:DF_A4500(1.0),A: Annual,SL06: Residential subscriptions,2009,896876,,0: Zero,,,,
LU1:DF_A4500(1.0),A: Annual,SL06: Residential subscriptions,2010,891227,,0: Zero,,,,
LU1:DF_A4500(1.0),A: Annual,SL06: Residential subscriptions,2011,895184,,0: Zero,,,,
LU1:DF_A4500(1.0),A: Annual,SL06: Residential subscriptions,2012,906946,,0: Zero,,,,
LU1:DF_A4500(1.0),A: Annual,SL06: Residential subscriptions,2013,900000,,0: Zero,,,,
LU1:DF_A4500(1.0),A: Annual,SL06: Residential subscriptions,2014,914311,,0: Zero,,,,
LU1:DF_A4500(1.0),A: Annual,SL06: Residential subscriptions,2015,914111,,0: Zero,,,,
LU1:DF_A4500(1.0),A: Annual,SL06: Residential subscriptions,2016,902876,,0: Zero,,,,
LU1:DF_A4500(1.0),A: Annual,SL06: Residential subscriptions,2017,917424,,0: Zero,,,,
LU1:DF_A4500(1.0),A: Annual,SL06: Residential subscriptions,2018,934391,,0: Zero,,,,
LU1:DF_A4500(1.0),A: Annual,SL06: Residential subscriptions,2019,946984,,0: Zero,,,,
LU1:DF_A4500(1.0),A: Annual,SL06: Residential subscriptions,2020,954146,,0: Zero,,,,
LU1:DF_A4500(1.0),A: Annual,SL06: Residential subscriptions,2021,1002994,,0: Zero,,,,
LU1:DF_A4500(1.0),A: Annual,SL03: Residential subscriptions,2007,198760,,0: Zero,,,,
LU1:DF_A4500(1.0),A: Annual,SL03: Residential subscriptions,2008,205686,,0: Zero,,,,
LU1:DF_A4500(1.0),A: Annual,SL03: Residential subscriptions,2009,209306,,0: Zero,,,,
LU1:DF_A4500(1.0),A: Annual,SL03: Residential subscriptions,2010,212852,,0: Zero,,,,
LU1:DF_A4500(1.0),A: Annual,SL03: Residential subscriptions,2011,215392,,0: Zero,,,,
