DATAFLOW,FREQ: Frequency,UNIT: Unit,SPECIFICATION: Specification,TIME_PERIOD: Time period,OBS_VALUE,OBS_STATUS: Observation status,DECIMALS: Decimals,NOTE_UNIT_2: Note Unit 2,NOTE_UNIT_1: Note Unit 1,NOTE_YEAR_2: Note year 2,NOTE_YEAR_1: Note year 1,NOTE_SPECIFICATION_2: Note specification 2,NOTE_SPECIFICATION_1: Note specification 1
LU1:DF_A4203(1.0),A: Annual,A01: TJ,SSSL02: Siderurgy,1928,,l: Not available,0: Zero,A01: Definitions: Terajoule,,,,,
LU1:DF_A4203(1.0),A: Annual,A01: TJ,SSSL02: Siderurgy,1929,,l: Not available,0: Zero,A01: Definitions: Terajoule,,,,,
LU1:DF_A4203(1.0),A: Annual,A01: TJ,SSSL02: Siderurgy,1930,,l: Not available,0: Zero,A01: Definitions: Terajoule,,,,,
LU1:DF_A4203(1.0),A: Annual,A01: TJ,SSSL02: Siderurgy,1931,,l: Not available,0: Zero,A01: Definitions: Terajoule,,,,,
LU1:DF_A4203(1.0),A: Annual,A01: TJ,SSSL02: Siderurgy,1932,,l: Not available,0: Zero,A01: Definitions: Terajoule,,,,,
LU1:DF_A4203(1.0),A: Annual,A01: TJ,SSSL02: Siderurgy,1933,,l: Not available,0: Zero,A01: Definitions: Terajoule,,,,,
LU1:DF_A4203(1.0),A: Annual,A01: TJ,SSSL02: Siderurgy,1934,,l: Not available,0: Zero,A01: Definitions: Terajoule,,,,,
LU1:DF_A4203(1.0),A: Annual,A01: TJ,SSSL02: Siderurgy,1935,,l: Not available,0: Zero,A01: Definitions: Terajoule,,,,,
LU1:DF_A4203(1.0),A: Annual,A01: TJ,SSSL02: Siderurgy,1936,,l: Not available,0: Zero,A01: Definitions: Terajoule,,,,,
LU1:DF_A4203(1.0),A: Annual,A01: TJ,SSSL02: Siderurgy,1937,,l: Not available,0: Zero,A01: Definitions: Terajoule,,,,,
LU1:DF_A4203(1.0),A: Annual,A01: TJ,SSSL02: Siderurgy,1938,,l: Not available,0: Zero,A01: Definitions: Terajoule,,,,,
LU1:DF_A4203(1.0),A: Annual,A01: TJ,SSSL02: Siderurgy,1939,,l: Not available,0: Zero,A01: Definitions: Terajoule,,,,,
LU1:DF_A4203(1.0),A: Annual,A01: TJ,SSSL02: Siderurgy,1940,,l: Not available,0: Zero,A01: Definitions: Terajoule,,,,,
LU1:DF_A4203(1.0),A: Annual,A01: TJ,SSSL02: Siderurgy,1941,,l: Not available,0: Zero,A01: Definitions: Terajoule,,,,,
LU1:DF_A4203(1.0),A: Annual,A01: TJ,SSSL02: Siderurgy,1942,,l: Not available,0: Zero,A01: Definitions: Terajoule,,,,,
LU1:DF_A4203(1.0),A: Annual,A01: TJ,SSSL02: Siderurgy,1943,,l: Not available,0: Zero,A01: Definitions: Terajoule,,,,,
LU1:DF_A4203(1.0),A: Annual,A01: TJ,SSSL02: Siderurgy,1944,,l: Not available,0: Zero,A01: Definitions: Terajoule,,,,,
LU1:DF_A4203(1.0),A: Annual,A01: TJ,SSSL02: Siderurgy,1945,,l: Not available,0: Zero,A01: Definitions: Terajoule,,,,,
LU1:DF_A4203(1.0),A: Annual,A01: TJ,SSSL02: Siderurgy,1946,,l: Not available,0: Zero,A01: Definitions: Terajoule,,,,,
LU1:DF_A4203(1.0),A: Annual,A01: TJ,SSSL02: Siderurgy,1947,,l: Not available,0: Zero,A01: Definitions: Terajoule,,,,,
