DATAFLOW,FREQ: Frequency,UNIT: Unit,SPECIFICATION: Specification,TIME_PERIOD: Time period,OBS_VALUE,OBS_STATUS: Observation status,DECIMALS: Decimals,NOTE_UNIT_2: Note Unit 2,NOTE_UNIT_1: Note Unit 1,NOTE_YEAR_2: Note year 2,NOTE_YEAR_1: Note year 1,NOTE_SPECIFICATION_2: Note specification 2,NOTE_SPECIFICATION_1: Note specification 1
LU1:DF_A4300(1.0),A: Annual,A02: ktep,SL06: Oil products,1960,210,,0: Zero,,,,,,
LU1:DF_A4300(1.0),A: Annual,A02: ktep,SL06: Oil products,1961,238,,0: Zero,,,,,,
LU1:DF_A4300(1.0),A: Annual,A02: ktep,SL06: Oil products,1962,350,,0: Zero,,,,,,
LU1:DF_A4300(1.0),A: Annual,A02: ktep,SL06: Oil products,1963,500,,0: Zero,,,,,,
LU1:DF_A4300(1.0),A: Annual,A02: ktep,SL06: Oil products,1964,644,,0: Zero,,,,,,
LU1:DF_A4300(1.0),A: Annual,A02: ktep,SL06: Oil products,1965,770,,0: Zero,,,,,,
LU1:DF_A4300(1.0),A: Annual,A02: ktep,SL06: Oil products,1966,882,,0: Zero,,,,,,
LU1:DF_A4300(1.0),A: Annual,A02: ktep,SL06: Oil products,1967,1029,,0: Zero,,,,,,
LU1:DF_A4300(1.0),A: Annual,A02: ktep,SL06: Oil products,1968,1134,,0: Zero,,,,,,
LU1:DF_A4300(1.0),A: Annual,A02: ktep,SL06: Oil products,1969,1155,,0: Zero,,,,,,
LU1:DF_A4300(1.0),A: Annual,A02: ktep,SL06: Oil products,1970,1230,,0: Zero,,,,,,
LU1:DF_A4300(1.0),A: Annual,A02: ktep,SL06: Oil products,1971,1218,,0: Zero,,,,,,
LU1:DF_A4300(1.0),A: Annual,A02: ktep,SL06: Oil products,1972,1288,,0: Zero,,,,,,
LU1:DF_A4300(1.0),A: Annual,A02: ktep,SL06: Oil products,1973,1484,,0: Zero,,,,,,
LU1:DF_A4300(1.0),A: Annual,A02: ktep,SL06: Oil products,1974,1309,,0: Zero,,,,,,
LU1:DF_A4300(1.0),A: Annual,A02: ktep,SL06: Oil products,1975,1180,,0: Zero,,,,,,
LU1:DF_A4300(1.0),A: Annual,A02: ktep,SL06: Oil products,1976,1295,,0: Zero,,,,,,
LU1:DF_A4300(1.0),A: Annual,A02: ktep,SL06: Oil products,1977,1302,,0: Zero,,,,,,
LU1:DF_A4300(1.0),A: Annual,A02: ktep,SL06: Oil products,1978,1316,,0: Zero,,,,,,
LU1:DF_A4300(1.0),A: Annual,A02: ktep,SL06: Oil products,1979,1253,,0: Zero,,,,,,
LU1:DF_A4300(1.0),A: Annual,A02: ktep,SL06: Oil products,1980,1048.95,,0: Zero,,,,,,
LU1:DF_A4300(1.0),A: Annual,A02: ktep,SL06: Oil products,1981,1008,,0: Zero,,,,,,
LU1:DF_A4300(1.0),A: Annual,A02: ktep,SL06: Oil products,1982,987,,0: Zero,,,,,,
LU1:DF_A4300(1.0),A: Annual,A02: ktep,SL06: Oil products,1983,959,,0: Zero,,,,,,
LU1:DF_A4300(1.0),A: Annual,A02: ktep,SL06: Oil products,1984,959,,0: Zero,,,,,,
LU1:DF_A4300(1.0),A: Annual,A02: ktep,SL06: Oil products,1985,1024.38,,0: Zero,,,,,,
LU1:DF_A4300(1.0),A: Annual,A02: ktep,SL06: Oil products,1986,1085.98,,0: Zero,,,,,,
LU1:DF_A4300(1.0),A: Annual,A02: ktep,SL06: Oil products,1987,1265.18,,0: Zero,,,,,,
LU1:DF_A4300(1.0),A: Annual,A02: ktep,SL06: Oil products,1988,1323.7,,0: Zero,,,,,,
LU1:DF_A4300(1.0),A: Annual,A02: ktep,SL06: Oil products,1989,1427.3,,0: Zero,,,,,,
LU1:DF_A4300(1.0),A: Annual,A02: ktep,SL06: Oil products,1990,1581,,0: Zero,,,,,,
