DATAFLOW,PRICE: Price,FREQ: Frequency,TIME_PERIOD: Time period,OBS_VALUE,NOTE_QUARTER_2: Note quarter 2,NOTE_QUARTER_1: Note quarter 1,NOTE_PRICE_2: Note Price 2,NOTE_PRICE_1: Note Price 1,OBS_STATUS: Observation status,DECIMALS: Decimals
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2007,0.146,,,,,,3: Three
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2007-Q1,,,,,,,
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2007-Q2,,,,,,,
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2007-Q3,,,,,,,
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2007-Q4,,,,,,,
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2008,0.1535625,,,,,,3: Three
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2008-Q1,,,,,,,
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2008-Q2,,,,,,,
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2008-Q3,,,,,,,
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2008-Q4,,,,,,,
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2009,0.1349,,,,,,3: Three
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2009-Q1,,,,,,,
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2009-Q2,,,,,,,
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2009-Q3,,,,,,,
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2009-Q4,,,,,,,
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2010,0.152,,,,,,3: Three
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2010-Q1,,,,,,,
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2010-Q2,,,,,,,
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2010-Q3,,,,,,,
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2010-Q4,,,,,,,
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2011,0.168,,,,,,3: Three
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2011-Q1,,,,,,,
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2011-Q2,,,,,,,
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2011-Q3,,,,,,,
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2011-Q4,,,,,,,
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2012,0.18,,,,,,3: Three
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2012-Q1,,,,,,,
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2012-Q2,,,,,,,
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2012-Q3,,,,,,,
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2012-Q4,,,,,,,
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2013,0.174,,,,,,3: Three
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2013-Q1,,,,,,,
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2013-Q2,,,,,,,
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2013-Q3,,,,,,,
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2013-Q4,,,,,,,
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2014,0.1675,,,,,,3: Three
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2014-Q1,,,,,,,
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2014-Q2,,,,,,,
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2014-Q3,,,,,,,
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2014-Q4,,,,,,,
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2015,0.171,,,,,,3: Three
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2015-Q1,,,,,,,
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2015-Q2,,,,,,,
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2015-Q3,,,,,,,
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2015-Q4,,,,,,,
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2016,0.159,,,,,,3: Three
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2016-Q1,,,,,,,
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2016-Q2,,,,,,,
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2016-Q3,,,,,,,
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2016-Q4,,,,,,,
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2017,0.169,,,,,,3: Three
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2017-Q1,,,,,,,
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2017-Q2,,,,,,,
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2017-Q3,,,,,,,
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2017-Q4,,,,,,,
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2018,0.17725,,,,,,3: Three
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2018-Q1,,,,,,,
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2018-Q2,,,,,,,
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2018-Q3,,,,,,,
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2018-Q4,,,,,,,
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2019,0.185,,,,,,3: Three
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2019-Q1,,,,,,,
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2019-Q2,,,,,,,
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2019-Q3,,,,,,,
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2019-Q4,,,,,,,
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2020,0.156,,,,,,3: Three
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2020-Q1,,,,,,,
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2020-Q2,,,,,,,
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2020-Q3,,,,,,,
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2020-Q4,,,,,,,
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2021,0.193,,,,,,3: Three
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2021-Q1,,,,,,,
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2021-Q2,,,,,,,
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2021-Q3,,,,,,,
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2021-Q4,,,,,,,
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2022,0.244,,,,,,3: Three
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2022-Q1,,,,,,,
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2022-Q2,,,,,,,
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2022-Q3,,,,,,,
LU1:DF_A4504(1.0),SSL02: VAT,A: Annual,2022-Q4,,,,,,,
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2007,,,,,,,
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2007-Q1,0.442,,,,,,3: Three
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2007-Q2,0.545,,,,,,3: Three
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2007-Q3,0.526,,,,,,3: Three
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2007-Q4,0.541,,,,,,3: Three
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2008,,,,,,,
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2008-Q1,0.56,,,,,,3: Three
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2008-Q2,0.636,,,,,,3: Three
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2008-Q3,0.639,,,,,,3: Three
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2008-Q4,0.413,,,,,,3: Three
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2009,,,,,,,
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2009-Q1,0.365,,,,,,3: Three
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2009-Q2,0.461,,,,,,3: Three
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2009-Q3,0.464,,,,,,3: Three
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2009-Q4,0.462,,,,,,3: Three
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2010,,,,,,,
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2010-Q1,0.537,,,,,,3: Three
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2010-Q2,0.56,,,,,,3: Three
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2010-Q3,0.532,,,,,,3: Three
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2010-Q4,0.568,,,,,,3: Three
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2011,,,,,,,
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2011-Q1,0.629,,,,,,3: Three
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2011-Q2,0.679,,,,,,3: Three
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2011-Q3,0.672,,,,,,3: Three
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2011-Q4,0.65,,,,,,3: Three
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2012,,,,,,,
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2012-Q1,0.745,,,,,,3: Three
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2012-Q2,0.729,,,,,,3: Three
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2012-Q3,0.772,,,,,,3: Three
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2012-Q4,0.715,,,,,,3: Three
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2013,,,,,,,
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2013-Q1,0.721,,,,,,3: Three
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2013-Q2,0.698,,,,,,3: Three
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2013-Q3,0.715,,,,,,3: Three
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2013-Q4,0.663,,,,,,3: Three
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2014,,,,,,,
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2014-Q1,0.666,,,,,,3: Three
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2014-Q2,0.677,,,,,,3: Three
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2014-Q3,0.692,,,,,,3: Three
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2014-Q4,0.584,,,,,,3: Three
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2015,,,,,,,
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2015-Q1,0.507,,,,,,3: Three
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2015-Q2,0.607,,,,,,3: Three
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2015-Q3,0.566,,,,,,3: Three
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2015-Q4,0.485,,,,,,3: Three
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2016,,,,,,,
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2016-Q1,0.423,,,,,,3: Three
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2016-Q2,0.485,,,,,,3: Three
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2016-Q3,0.471,,,,,,3: Three
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2016-Q4,0.51,,,,,,3: Three
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2017,,,,,,,
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2017-Q1,0.543,,,,,,3: Three
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2017-Q2,0.526,,,,,,3: Three
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2017-Q3,0.512,,,,,,3: Three
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2017-Q4,0.539,,,,,,3: Three
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2018,,,,,,,
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2018-Q1,0.536,,,,,,3: Three
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2018-Q2,0.595,,,,,,3: Three
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2018-Q3,0.625,,,,,,3: Three
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2018-Q4,0.559,,,,,,3: Three
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2019,,,,,,,
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2019-Q1,0.52,,,,,,3: Three
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2019-Q2,0.606,,,,,,3: Three
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2019-Q3,0.579,,,,,,3: Three
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2019-Q4,0.563,,,,,,3: Three
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2020,,,,,,,
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2020-Q1,0.521,,,,,,3: Three
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2020-Q2,0.366,,,,,,3: Three
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2020-Q3,0.461,,,,,,3: Three
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2020-Q4,0.441,,,,,,3: Three
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2021,,,,,,,
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2021-Q1,0.516,,,,,,3: Three
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2021-Q2,0.588,,,,,,3: Three
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2021-Q3,0.641,,,,,,3: Three
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2021-Q4,0.73,,,,,,3: Three
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2022,,,,,,,
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2022-Q1,0.827,,,,,,3: Three
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2022-Q2,1.088,,,,,,3: Three
