DATAFLOW,FREQ: Frequency,SPECIFICATION: Specification,TIME_PERIOD: Time period,OBS_VALUE,OBS_STATUS: Observation status,DECIMALS: Decimals,NOTE_MONTH_2: Note Month 2,NOTE_MONTH_1: Note Month 1,NOTE_SPECIFICATION_2: Note specification 2,NOTE_SPECIFICATION_1: Note specification 1
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2008-01,239481115,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2008-02,216082894,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2008-03,234582495,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2008-04,151696293,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2008-05,2629120,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2008-06,2900040,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2008-07,39779381,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2008-08,237770055,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2008-09,237958665,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2008-10,254439095,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2008-11,231007124,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2008-12,213922594,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2009-01,253249150,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2009-02,201400124,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2009-03,219549074,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2009-04,211815454,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2009-05,201127754,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2009-06,138270303,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2009-07,222398054,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2009-08,225876955,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2009-09,231535000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2009-10,246112705,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2009-11,210656354,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2009-12,179761154,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2010-01,224889805,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2010-02,213806750,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2010-03,225254904,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2010-04,208777604,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2010-05,149238722,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2010-06,215968604,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2010-07,223282854,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2010-08,203420104,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2010-09,212021050,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2010-10,245067606,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2010-11,213607705,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2010-12,252399562,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2011-01,236205957,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2011-02,219967156,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2011-03,236310600,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2011-04,218727250,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2011-05,199649355,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2011-06,211631955,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2011-07,186797700,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2011-08,23743350,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2011-09,6322000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2011-10,48109900,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2011-11,227314910,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2011-12,217397855,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2012-01,187173250,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2012-02,238628906,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2012-03,203227197,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2012-04,218603500,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2012-05,207939000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2012-06,198605900,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2012-07,187246050,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2012-08,132823050,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2012-09,64181700,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2012-10,170754700,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2012-11,169839900,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2012-12,107432650,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2013-01,141030100,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2013-02,140102500,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2013-03,184521150,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2013-04,70776750,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2013-05,49485600,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2013-06,6324700,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2013-07,15712150,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2013-08,9420000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2013-09,6791000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2013-10,170607453,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2013-11,196903000,,0: Zero,,,,
