DATAFLOW,FREQ: Frequency,SPECIFICATION: Specification,TIME_PERIOD: Time period,OBS_VALUE,OBS_STATUS: Observation status,DECIMALS: Decimals,NOTE_YEAR_2: Note year 2,NOTE_YEAR_1: Note year 1,NOTE_SPECIFICATION_2: Note specification 2,NOTE_SPECIFICATION_1: Note specification 1
LU1:DF_A4209(1.0),A: Annual,SL05: Biomass and biogas,2009,1.4,,1: One,,,,
LU1:DF_A4209(1.0),A: Annual,SL05: Biomass and biogas,2010,1.3,,1: One,,,,
LU1:DF_A4209(1.0),A: Annual,SL05: Biomass and biogas,2011,0.9,,1: One,,,,
LU1:DF_A4209(1.0),A: Annual,SL05: Biomass and biogas,2012,1.1,,1: One,,,,
LU1:DF_A4209(1.0),A: Annual,SL05: Biomass and biogas,2013,1.3,,1: One,,,,
LU1:DF_A4209(1.0),A: Annual,SL05: Biomass and biogas,2014,1.4,,1: One,,,,
LU1:DF_A4209(1.0),A: Annual,SL05: Biomass and biogas,2015,2.2,,1: One,,,,
LU1:DF_A4209(1.0),A: Annual,SL05: Biomass and biogas,2016,3,,1: One,,,,
LU1:DF_A4209(1.0),A: Annual,SL05: Biomass and biogas,2017,3.1,,1: One,,,,
LU1:DF_A4209(1.0),A: Annual,SL05: Biomass and biogas,2018,3.5,,1: One,,,,
LU1:DF_A4209(1.0),A: Annual,SL05: Biomass and biogas,2019,5.5,,1: One,,,,
LU1:DF_A4209(1.0),A: Annual,SL05: Biomass and biogas,2020,2.5,,1: One,,,,
LU1:DF_A4209(1.0),A: Annual,SL05: Biomass and biogas,2021,3.5,,1: One,,,,
LU1:DF_A4209(1.0),A: Annual,SL09: Other sources of renewable energy,2009,5.1,,1: One,,,,
LU1:DF_A4209(1.0),A: Annual,SL09: Other sources of renewable energy,2010,5.7,,1: One,,,,
LU1:DF_A4209(1.0),A: Annual,SL09: Other sources of renewable energy,2011,,-: nil,1: One,,,,
LU1:DF_A4209(1.0),A: Annual,SL09: Other sources of renewable energy,2012,,-: nil,1: One,,,,
LU1:DF_A4209(1.0),A: Annual,SL09: Other sources of renewable energy,2013,0.1,,1: One,,,,
LU1:DF_A4209(1.0),A: Annual,SL09: Other sources of renewable energy,2014,0.4,,1: One,,,,
LU1:DF_A4209(1.0),A: Annual,SL09: Other sources of renewable energy,2015,,-: nil,1: One,,,,
LU1:DF_A4209(1.0),A: Annual,SL09: Other sources of renewable energy,2016,,-: nil,1: One,,,,
LU1:DF_A4209(1.0),A: Annual,SL09: Other sources of renewable energy,2017,,-: nil,1: One,,,,
LU1:DF_A4209(1.0),A: Annual,SL09: Other sources of renewable energy,2018,,-: nil,1: One,,,,
LU1:DF_A4209(1.0),A: Annual,SL09: Other sources of renewable energy,2019,,-: nil,1: One,,,,
LU1:DF_A4209(1.0),A: Annual,SL09: Other sources of renewable energy,2020,,n: Less than half the used unit,1: One,,,,
LU1:DF_A4209(1.0),A: Annual,SL09: Other sources of renewable energy,2021,,n: Less than half the used unit,1: One,,,,
LU1:DF_A4209(1.0),A: Annual,SL03: Naturel gas,2009,20.7,,1: One,,,,
LU1:DF_A4209(1.0),A: Annual,SL03: Naturel gas,2010,31.3,,1: One,,,,
LU1:DF_A4209(1.0),A: Annual,SL03: Naturel gas,2011,32.3,,1: One,,,,
LU1:DF_A4209(1.0),A: Annual,SL03: Naturel gas,2012,29.9,,1: One,,,,
LU1:DF_A4209(1.0),A: Annual,SL03: Naturel gas,2013,12.7,,1: One,,,,
LU1:DF_A4209(1.0),A: Annual,SL03: Naturel gas,2014,8.2,,1: One,,,,
LU1:DF_A4209(1.0),A: Annual,SL03: Naturel gas,2015,11.7,,1: One,,,,
LU1:DF_A4209(1.0),A: Annual,SL03: Naturel gas,2016,6.8,,1: One,,,,
LU1:DF_A4209(1.0),A: Annual,SL03: Naturel gas,2017,8.9,,1: One,,,,
LU1:DF_A4209(1.0),A: Annual,SL03: Naturel gas,2018,8.5,,1: One,,,,
LU1:DF_A4209(1.0),A: Annual,SL03: Naturel gas,2019,8,,1: One,,,,
LU1:DF_A4209(1.0),A: Annual,SL03: Naturel gas,2020,7.3,,1: One,,,,
LU1:DF_A4209(1.0),A: Annual,SL03: Naturel gas,2021,6.8,,1: One,,,,
LU1:DF_A4209(1.0),A: Annual,L04: Other sources and unidentified sources,2009,2.7,,1: One,,,,
LU1:DF_A4209(1.0),A: Annual,L04: Other sources and unidentified sources,2010,0.4,,1: One,,,,
LU1:DF_A4209(1.0),A: Annual,L04: Other sources and unidentified sources,2011,0.6,,1: One,,,,
LU1:DF_A4209(1.0),A: Annual,L04: Other sources and unidentified sources,2012,6.1,,1: One,,,,
LU1:DF_A4209(1.0),A: Annual,L04: Other sources and unidentified sources,2013,0.4,,1: One,,,,
LU1:DF_A4209(1.0),A: Annual,L04: Other sources and unidentified sources,2014,0.2,,1: One,,,,
LU1:DF_A4209(1.0),A: Annual,L04: Other sources and unidentified sources,2015,0.3,,1: One,,,,
LU1:DF_A4209(1.0),A: Annual,L04: Other sources and unidentified sources,2016,0.2,,1: One,,,,
LU1:DF_A4209(1.0),A: Annual,L04: Other sources and unidentified sources,2017,0.1,,1: One,,,,
LU1:DF_A4209(1.0),A: Annual,L04: Other sources and unidentified sources,2018,0.1,,1: One,,,,
LU1:DF_A4209(1.0),A: Annual,L04: Other sources and unidentified sources,2019,0.1,,1: One,,,,
LU1:DF_A4209(1.0),A: Annual,L04: Other sources and unidentified sources,2020,1.5,,1: One,,,,
LU1:DF_A4209(1.0),A: Annual,L04: Other sources and unidentified sources,2021,0.9,,1: One,,,,
LU1:DF_A4209(1.0),A: Annual,SL06: Wind energy,2009,2.6,,1: One,,,,
LU1:DF_A4209(1.0),A: Annual,SL06: Wind energy,2010,2.5,,1: One,,,,
LU1:DF_A4209(1.0),A: Annual,SL06: Wind energy,2011,2.6,,1: One,,,,
