DATAFLOW,SPECIFICATION: Specification,FREQ: Frequency,TIME_PERIOD: Time period,OBS_VALUE,NOTE_YEAR_2: Note year 2,NOTE_YEAR_1: Note year 1,NOTE_SPECIFICATION_2: Note specification 2,NOTE_SPECIFICATION_1: Note specification 1,OBS_STATUS: Observation status,DECIMALS: Decimals
LU1:DF_E5103(1.0),SL01: Inflation rate,A: Annual,1922,-6.7,,,,spec: The inflation rate is the percentage change of the general index compared to the previous year.,,1: One
LU1:DF_E5103(1.0),SL01: Inflation rate,A: Annual,1923,18.2,,,,spec: The inflation rate is the percentage change of the general index compared to the previous year.,,1: One
LU1:DF_E5103(1.0),SL01: Inflation rate,A: Annual,1924,12.4,,,,spec: The inflation rate is the percentage change of the general index compared to the previous year.,,1: One
LU1:DF_E5103(1.0),SL01: Inflation rate,A: Annual,1925,4.6,,,,spec: The inflation rate is the percentage change of the general index compared to the previous year.,,1: One
LU1:DF_E5103(1.0),SL01: Inflation rate,A: Annual,1926,18.5,,,,spec: The inflation rate is the percentage change of the general index compared to the previous year.,,1: One
LU1:DF_E5103(1.0),SL01: Inflation rate,A: Annual,1927,26,,,,spec: The inflation rate is the percentage change of the general index compared to the previous year.,,1: One
LU1:DF_E5103(1.0),SL01: Inflation rate,A: Annual,1928,4.5,,,,spec: The inflation rate is the percentage change of the general index compared to the previous year.,,1: One
LU1:DF_E5103(1.0),SL01: Inflation rate,A: Annual,1929,7.4,,,,spec: The inflation rate is the percentage change of the general index compared to the previous year.,,1: One
LU1:DF_E5103(1.0),SL01: Inflation rate,A: Annual,1930,1.7,,,,spec: The inflation rate is the percentage change of the general index compared to the previous year.,,1: One
LU1:DF_E5103(1.0),SL01: Inflation rate,A: Annual,1931,-10.5,,,,spec: The inflation rate is the percentage change of the general index compared to the previous year.,,1: One
LU1:DF_E5103(1.0),SL01: Inflation rate,A: Annual,1932,-13.1,,,,spec: The inflation rate is the percentage change of the general index compared to the previous year.,,1: One
LU1:DF_E5103(1.0),SL01: Inflation rate,A: Annual,1933,-0.4,,,,spec: The inflation rate is the percentage change of the general index compared to the previous year.,,1: One
LU1:DF_E5103(1.0),SL01: Inflation rate,A: Annual,1934,-3.6,,,,spec: The inflation rate is the percentage change of the general index compared to the previous year.,,1: One
LU1:DF_E5103(1.0),SL01: Inflation rate,A: Annual,1935,-2,,,,spec: The inflation rate is the percentage change of the general index compared to the previous year.,,1: One
LU1:DF_E5103(1.0),SL01: Inflation rate,A: Annual,1936,0.5,,,,spec: The inflation rate is the percentage change of the general index compared to the previous year.,,1: One
LU1:DF_E5103(1.0),SL01: Inflation rate,A: Annual,1937,5.7,,,,spec: The inflation rate is the percentage change of the general index compared to the previous year.,,1: One
LU1:DF_E5103(1.0),SL01: Inflation rate,A: Annual,1938,2.9,,,,spec: The inflation rate is the percentage change of the general index compared to the previous year.,,1: One
LU1:DF_E5103(1.0),SL01: Inflation rate,A: Annual,1939,-0.4,,,,spec: The inflation rate is the percentage change of the general index compared to the previous year.,,1: One
