DATAFLOW,SPECIFICATION: Specification,FREQ: Frequency,TIME_PERIOD: Time period,OBS_VALUE,NOTE_YEAR_2: Note year 2,NOTE_YEAR_1: Note year 1,NOTE_SPECIFICATION_2: Note specification 2,NOTE_SPECIFICATION_1: Note specification 1,OBS_STATUS: Observation status,DECIMALS: Decimals
LU1:DF_E5300(1.0),"A14: Medical consultation, general practicioner",A: Annual,2000,20,,,,,,1: One
LU1:DF_E5300(1.0),"A14: Medical consultation, general practicioner",A: Annual,2001,20.6,,,,,,1: One
LU1:DF_E5300(1.0),"A14: Medical consultation, general practicioner",A: Annual,2002,22.2,,,,,,1: One
LU1:DF_E5300(1.0),"A14: Medical consultation, general practicioner",A: Annual,2003,22.2,,,,,,1: One
LU1:DF_E5300(1.0),"A14: Medical consultation, general practicioner",A: Annual,2004,29.6,,,,,,1: One
LU1:DF_E5300(1.0),"A14: Medical consultation, general practicioner",A: Annual,2005,29.8,,,,,,1: One
LU1:DF_E5300(1.0),"A14: Medical consultation, general practicioner",A: Annual,2006,30.3,,,,,,1: One
LU1:DF_E5300(1.0),"A14: Medical consultation, general practicioner",A: Annual,2007,31,,,,,,1: One
LU1:DF_E5300(1.0),"A14: Medical consultation, general practicioner",A: Annual,2008,31.8,,,,,,1: One
LU1:DF_E5300(1.0),"A14: Medical consultation, general practicioner",A: Annual,2009,35.1,,,,,,1: One
LU1:DF_E5300(1.0),"A14: Medical consultation, general practicioner",A: Annual,2010,35.1,,,,,,1: One
LU1:DF_E5300(1.0),"A14: Medical consultation, general practicioner",A: Annual,2011,35.9,,,,,,1: One
LU1:DF_E5300(1.0),"A14: Medical consultation, general practicioner",A: Annual,2012,36.8,,,,,,1: One
LU1:DF_E5300(1.0),"A14: Medical consultation, general practicioner",A: Annual,2013,37.7,,,,,,1: One
LU1:DF_E5300(1.0),"A14: Medical consultation, general practicioner",A: Annual,2014,39,,,,,,1: One
LU1:DF_E5300(1.0),"A14: Medical consultation, general practicioner",A: Annual,2015,39,,,,,,1: One
LU1:DF_E5300(1.0),"A14: Medical consultation, general practicioner",A: Annual,2016,38.6,,,,,,1: One
LU1:DF_E5300(1.0),"A14: Medical consultation, general practicioner",A: Annual,2017,43.7,,,,,,1: One
LU1:DF_E5300(1.0),"A14: Medical consultation, general practicioner",A: Annual,2018,43.7,,,,,,1: One
LU1:DF_E5300(1.0),"A14: Medical consultation, general practicioner",A: Annual,2019,46.1,,,,,,1: One
LU1:DF_E5300(1.0),"A14: Medical consultation, general practicioner",A: Annual,2020,47.3,,,,,,1: One
LU1:DF_E5300(1.0),"A14: Medical consultation, general practicioner",A: Annual,2021,50.98,,,,,,1: One
LU1:DF_E5300(1.0),"A14: Medical consultation, general practicioner",A: Annual,2022,53.56,,,,,,1: One
LU1:DF_E5300(1.0),A18: Diesel (1 l),A: Annual,2000,0.7,,,,,,1: One
LU1:DF_E5300(1.0),A18: Diesel (1 l),A: Annual,2001,0.7,,,,,,1: One
LU1:DF_E5300(1.0),A18: Diesel (1 l),A: Annual,2002,0.6,,,,,,1: One
LU1:DF_E5300(1.0),A18: Diesel (1 l),A: Annual,2003,0.6,,,,,,1: One
LU1:DF_E5300(1.0),A18: Diesel (1 l),A: Annual,2004,0.7,,,,,,1: One
LU1:DF_E5300(1.0),A18: Diesel (1 l),A: Annual,2005,0.8,,,,,,1: One
LU1:DF_E5300(1.0),A18: Diesel (1 l),A: Annual,2006,0.9,,,,,,1: One
LU1:DF_E5300(1.0),A18: Diesel (1 l),A: Annual,2007,0.9,,,,,,1: One
LU1:DF_E5300(1.0),A18: Diesel (1 l),A: Annual,2008,1.3,,,,,,1: One
LU1:DF_E5300(1.0),A18: Diesel (1 l),A: Annual,2009,0.9,,,,,,1: One
LU1:DF_E5300(1.0),A18: Diesel (1 l),A: Annual,2010,0.926,,,,,,1: One
