DATAFLOW,SPECIFICATION: Specification,FREQ: Frequency,TIME_PERIOD: Time period,OBS_VALUE,NOTE_YEAR_2: Note year 2,NOTE_YEAR_1: Note year 1,NOTE_SPECIFICATION_2: Note specification 2,NOTE_SPECIFICATION_1: Note specification 1,OBS_STATUS: Observation status,DECIMALS: Decimals
LU1:DF_E5100(1.0),SL10: October,A: Annual,1948,101.26,,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,1949,110.37,,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,1950,114.03,,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,1951,121.34,,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,1952,123.01,,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,1953,122.63,,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,1954,124.36,,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,1955,123.77,,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,1956,124.12,,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,1957,131.16,,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,1958,130.86,,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,1959,131.37,,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,1960,132.28,,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,1961,132.53,,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,1962,133.49,,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,1963,138.72,,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,1964,142.63,,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,1965,147.41,,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,1966,151.12,,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,1967,155.91,,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,1968,159.41,,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,1969,162.53,,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,1970,171.24,,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,1971,179.96,,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,1972,190.23,,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,1973,200.71,,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,1974,222.48,,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,1975,248.03,,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,1976,269.14,,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,1977,283.8,,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,1978,293.2,,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,1979,308.46,,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,1980,326.99,,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,1981,355.84,,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,1982,392.86,,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,1983,425.82,,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,1984,441.12,,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,1985,456.03,,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,1986,451.57,,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,1987,452.52,1987: From July to November 1987: figures were adjusted for the retroactive increase in the price of a day of hospitalization.,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,1988,461.53,,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,1989,479.73,,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,1990,499.74,,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,1991,512.07,,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,1992,528.42,,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,1993,546.88,,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,1994,557.22,1994: From July 1994: excluding the social contribution on fuels from 1.7.1994.,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,1995,565.74,,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,1996,574.25,,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,1997,584.46,,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,1998,587.27,,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,1999,597.6829656,1999: From 1999: accounting for seasonal sales prices in January and July.,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,2000,618.28,,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,2001,632.31,,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,2002,646.33,,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,2003,657.2,,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,2004,672.4,,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,2005,692.97,,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,2006,703.53,2006: From 2006: excluding the climate change contribution on fuels and with fixed excise duties and VAT on tobacco products.,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,2007,723.25,,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,2008,746.29,"2008: From January 2008: prices collected on the first of the month are replaced by mid-month prices. In the case of petroleum products, an average price from 1st to 15th of each month (and not only the price on the the first day) is collected.",,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,2009,746.43,,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,2010,765.42,,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,2011,791.02,2011: From January 2011: changes in the methodology for the treatment of seasonal products.,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,2012,813.61,,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,2013,823,,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,2014,825.04,,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,2015,829.12,,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,2016,833.36,,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,2017,849.08,,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,2018,866.04,,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,2019,875.5525239,,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,2020,881.26,,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,2021,910.36,,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,2022,971.97,,,,,,2: Two
LU1:DF_E5100(1.0),SL10: October,A: Annual,2023,,,,,,-: nil,0: Zero
LU1:DF_E5100(1.0),SL06: June,A: Annual,1948,100.93,,,,,,2: Two
LU1:DF_E5100(1.0),SL06: June,A: Annual,1949,102.82,,,,,,2: Two
LU1:DF_E5100(1.0),SL06: June,A: Annual,1950,109.68,,,,,,2: Two
LU1:DF_E5100(1.0),SL06: June,A: Annual,1951,121.02,,,,,,2: Two
LU1:DF_E5100(1.0),SL06: June,A: Annual,1952,122.06,,,,,,2: Two
LU1:DF_E5100(1.0),SL06: June,A: Annual,1953,121.31,,,,,,2: Two
LU1:DF_E5100(1.0),SL06: June,A: Annual,1954,123.3,,,,,,2: Two
LU1:DF_E5100(1.0),SL06: June,A: Annual,1955,122.21,,,,,,2: Two
LU1:DF_E5100(1.0),SL06: June,A: Annual,1956,123.36,,,,,,2: Two
LU1:DF_E5100(1.0),SL06: June,A: Annual,1957,129.23,,,,,,2: Two
LU1:DF_E5100(1.0),SL06: June,A: Annual,1958,130.38,,,,,,2: Two
LU1:DF_E5100(1.0),SL06: June,A: Annual,1959,130.72,,,,,,2: Two
LU1:DF_E5100(1.0),SL06: June,A: Annual,1960,131.94,,,,,,2: Two
LU1:DF_E5100(1.0),SL06: June,A: Annual,1961,132.26,,,,,,2: Two
LU1:DF_E5100(1.0),SL06: June,A: Annual,1962,133.91,,,,,,2: Two
LU1:DF_E5100(1.0),SL06: June,A: Annual,1963,138.08,,,,,,2: Two
LU1:DF_E5100(1.0),SL06: June,A: Annual,1964,141.4,,,,,,2: Two
LU1:DF_E5100(1.0),SL06: June,A: Annual,1965,146.58,,,,,,2: Two
LU1:DF_E5100(1.0),SL06: June,A: Annual,1966,149.93,,,,,,2: Two
LU1:DF_E5100(1.0),SL06: June,A: Annual,1967,152.61,,,,,,2: Two
LU1:DF_E5100(1.0),SL06: June,A: Annual,1968,158.14,,,,,,2: Two
LU1:DF_E5100(1.0),SL06: June,A: Annual,1969,161.91,,,,,,2: Two
LU1:DF_E5100(1.0),SL06: June,A: Annual,1970,169.84,,,,,,2: Two
LU1:DF_E5100(1.0),SL06: June,A: Annual,1971,177.61,,,,,,2: Two
