DATAFLOW,COUNTRY: Country of residence,REGION: Tourist region,FREQ: Frequency,TIME_PERIOD: Time period,OBS_VALUE,NOTE_COUNTRY_2: Note Country 2,NOTE_COUNTRY_1: Note Country 1,NOTE_REGION_2: Note Region 2,NOTE_REGION_1: Note Region 1,NOTE_YEAR_2: Note year 2,NOTE_YEAR_1: Note year 1,OBS_STATUS: Observation status,DECIMALS: Decimals
LU1:DF_D5301(1.0),SSL05: Bulgaria,R01: Total,A: Annual,2011,1305,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL05: Bulgaria,R01: Total,A: Annual,2012,1282,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL05: Bulgaria,R01: Total,A: Annual,2013,1389,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL05: Bulgaria,R01: Total,A: Annual,2014,1967,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL05: Bulgaria,R01: Total,A: Annual,2015,2696,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL05: Bulgaria,R01: Total,A: Annual,2016,2486,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL05: Bulgaria,R01: Total,A: Annual,2017,2126,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL05: Bulgaria,R01: Total,A: Annual,2018,1922,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL05: Bulgaria,R01: Total,A: Annual,2019,2265,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL05: Bulgaria,R01: Total,A: Annual,2020,1422,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL05: Bulgaria,R01: Total,A: Annual,2021,1464,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL15: Ireland,R02: Centre,A: Annual,2011,2414,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL15: Ireland,R02: Centre,A: Annual,2012,2807,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL15: Ireland,R02: Centre,A: Annual,2013,4141,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL15: Ireland,R02: Centre,A: Annual,2014,4596,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL15: Ireland,R02: Centre,A: Annual,2015,5613,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL15: Ireland,R02: Centre,A: Annual,2016,5245,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL15: Ireland,R02: Centre,A: Annual,2017,5357,,,,,,,,0: Zero
