DATAFLOW,FREQ: Frequency,COUNTRY: Country,REGION: Tourist region,TIME_PERIOD: Time period,OBS_VALUE,OBS_STATUS: Observation status,DECIMALS: Decimals,NOTE_COUNTRY_2: Note Country 2,NOTE_COUNTRY_1: Note Country 1,NOTE_REGION_2: Note Region 2,NOTE_REGION_1: Note Region 1,NOTE_YEAR_2: Note year 2,NOTE_YEAR_1: Note year 1
LU1:DF_D5303(1.0),A: Annual,SSL39: Japan,R08: Southern region,2011,1.69,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL39: Japan,R08: Southern region,2012,1.621621622,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL39: Japan,R08: Southern region,2013,1.06793049,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL39: Japan,R08: Southern region,2014,1.275510204,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL39: Japan,R08: Southern region,2015,1.19617928,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL39: Japan,R08: Southern region,2016,1.591029024,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL39: Japan,R08: Southern region,2017,1.246696035,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL39: Japan,R08: Southern region,2018,1.353159851,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL39: Japan,R08: Southern region,2019,1.177201513,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL39: Japan,R08: Southern region,2020,1.309392265,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL39: Japan,R08: Southern region,2021,1.177201513,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL01: Luxembourg,R01: Total,2011,2.958840068,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL01: Luxembourg,R01: Total,2012,3.450807595,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL01: Luxembourg,R01: Total,2013,3.244566575,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL01: Luxembourg,R01: Total,2014,3.390239236,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL01: Luxembourg,R01: Total,2015,3.048016643,,1: One,,,,,,
