COMMUNE_CODE,COMMUNE_NOM,NOMBRE_ENFANTS,NOMBRE_PARENTS
1,Luxembourg,1,17025
1,Luxembourg,2,19726
1,Luxembourg,3,7058
1,Luxembourg,4,1810
1,Luxembourg,5,480
1,Luxembourg,6,153
1,Luxembourg,7,51
1,Luxembourg,8,17
1,Luxembourg,9,9
1,Luxembourg,10,6
1,Luxembourg,11,1
1,Luxembourg,12,3
1,Luxembourg,13,1
203,Dippach,1,711
203,Dippach,2,1168
203,Dippach,3,385
203,Dippach,4,108
203,Dippach,5,16
203,Dippach,6,4
203,Dippach,8,4
204,Garnich,1,299
204,Garnich,2,648
204,Garnich,3,206
204,Garnich,4,40
204,Garnich,5,16
204,Garnich,6,4
204,Garnich,7,2
204,Garnich,12,2
206,Kehlen,1,982
206,Kehlen,2,1604
206,Kehlen,3,573
206,Kehlen,4,142
206,Kehlen,5,26
206,Kehlen,6,9
206,Kehlen,7,3
206,Kehlen,8,1
207,Koerich,1,379
207,Koerich,2,666
207,Koerich,3,228
207,Koerich,4,63
207,Koerich,5,26
207,Koerich,6,8
208,Kopstal,1,615
208,Kopstal,2,994
208,Kopstal,3,361
208,Kopstal,4,81
208,Kopstal,5,25
208,Kopstal,6,12
208,Kopstal,7,1
209,Mamer,1,1501
209,Mamer,2,2691
209,Mamer,3,898
209,Mamer,4,202
209,Mamer,5,38
209,Mamer,6,9
209,Mamer,7,8
209,Mamer,8,1
209,Mamer,9,1
211,Steinfort,1,875
211,Steinfort,2,1403
211,Steinfort,3,536
211,Steinfort,4,131
211,Steinfort,5,25
211,Steinfort,6,9
211,Steinfort,7,1
212,Käerjeng,1,1853
212,Käerjeng,2,2701
212,Käerjeng,3,924
212,Käerjeng,4,253
212,Käerjeng,5,57
212,Käerjeng,6,27
212,Käerjeng,7,11
212,Käerjeng,8,3
212,Käerjeng,9,1
212,Käerjeng,12,1
213,Habscht,1,758
213,Habscht,2,1114
213,Habscht,3,429
213,Habscht,4,124
213,Habscht,5,12
213,Habscht,6,6
213,Habscht,7,3
213,Habscht,8,1
213,Habscht,9,2
213,Habscht,10,1
301,Bettembourg,1,1823
301,Bettembourg,2,2784
301,Bettembourg,3,983
301,Bettembourg,4,270
301,Bettembourg,5,67
301,Bettembourg,6,24
301,Bettembourg,7,2
301,Bettembourg,8,5
301,Bettembourg,10,3
302,Differdange,1,4620
302,Differdange,2,5997
302,Differdange,3,2708
302,Differdange,4,812
302,Differdange,5,274
302,Differdange,6,89
302,Differdange,7,37
302,Differdange,8,16
302,Differdange,9,3
302,Differdange,10,1
