product_id,akkukapazitat,anzahl_prozessorkerne,arbeitsspeicher,artikelnummer,audio_features,batterie_akkutyp,betriebssystem,betriebssystem_version,bildschirmdiagonale_zoll,bildschirmtechnologie,bildseitenverhaltnis,bildwiederholfrequenz,bildwiederholrate_bei_max_auflosung,bluetooth_version,breite,farbgruppe,frontkamera_auflosung,genaue_farbbezeichnung,gewicht,handy_features,hauptkamera_lichtstarke,hersteller,herstellernr,hohe,kamera_anzahl,kamera_auflosung,kamera_feature,kategorie,konnektivitat,ladetechnologie,lieferumfang,lange,max_videoauflosung,max_videoauflosung_standard,mobiler_prozessor,mobilfunk_standard,modellreihe,pixelauflosung,prozessor_taktfrequenz,punktdichte,sim_slot,sim_kartentyp,sim_typ,satellitennavigationssystemtyp,schutzart_ip_code,sensoren,smart_home_okosystem,speicherkapazitat,speicherkartentyp,steckertyp,titel,verkaufsrang_in_kategorie_smartphone,wlan_standard
10265229,4000 mAh,8 -Core,6 GB,10265229,"aptX, aptX HDi
, DAC",LiPoi,Android,Android 9.0 (Pie),"6.40""",LCDi,19.5:9,960 Hz,,5.0,10 cm,Blau,25 Mpx,Sapphire Blue,518 g,"3.5mm Klinkenbuchse, Face Unlocki
, Fingerprinti",1.80 f,Honor,51093HKT,6 cm,Dual Kamerai,48 Mpx,Monochromi,Smartphonei,"Bluetoothi
, NFCi
, WiFi Hotspot, WLAN",SuperCharge,"USB Ladegerät, USB Ladekabel",18 cm,2310 x 1080 Pixels,2K,HiSilicon Kirin 980,4Gi,,2310 x 1080 Pixels,2.40 GHz,398 ppi,Nano-SIMi,Nano-SIMi,Dual SIMi,"A-GPS, GLONASSi",,"Beschleunigungssensor, Gyroskopi
, Kompass, Umgebungslichtsensori",Google Assistant,128 GB,,USB-C,Honor View 20,,"Wi-Fi 1 / 802.11bi
, Wi-Fi 2 / 802.11ai
, Wi-Fi 3 / 802.11gi
, Wi-Fi 4 / 802.11ni
, Wi-Fi 5 / 802.11aci"
10274134,3400 mAh,8 -Core,3 GB,10274134,,Li-Ioni,Android,Android 9.0 (Pie),"6.21""",LCDi,19.5:9,,,4.2,9 cm,Schwarz,8 Mpx,Black,380 g,"3.5mm Klinkenbuchse, Fingerprinti",2.20 f,Huawei,51093GNB,6 cm,Dual Kamerai,13 Mpx,,Smartphonei,"Bluetoothi
, WiFi Hotspot, WLAN",,"Schnellstartanleitung, USB Ladegerät, USB Ladekabel",17 cm,2340 x 1080 Pixels,FHD+,HiSilicon Kirin 710,4Gi,,2340 x 1080 Pixels,2.40 GHz,415 ppi,Nano-SIMi,Nano-SIMi,Hybrid Dual SIMi,"A-GPS, Beidoui
, GLONASSi",,"Beschleunigungssensor, Gyroskopi
, Kompass, Umgebungslichtsensori",Google Assistant,64 GB,microSDi,Micro USB,Huawei P Smart 2019,,"Wi-Fi 1 / 802.11bi
, Wi-Fi 3 / 802.11gi
, Wi-Fi 4 / 802.11ni"
10421653,4100 mAh,8 -Core,12 GB,10421653,Dolby Atmos,,Android,Android 9.0 (Pie),"6.40""",AMOLED,18.5:9,960 Hz,30p,5.0,9.50 cm,Schwarz,10 Mpx,Ceramic Black,475 g,"3.5mm Klinkenbuchse, Face Unlocki
, Fingerprinti",2.20 f,Samsung,SM-G975FCKHAUT,5.50 cm,Dual Kamerai,16 Mpx,,Smartphonei,"Bluetoothi
, NFCi
, WiFi Hotspot, WLAN","Fast Charge, Qi Wireless Charging","Kopfhörer, USB Ladegerät, USB Ladekabel",18 cm,3840 x 2160 Pixels,4Ki,Exynos 9820,4Gi,,3040 x 1440 Pixels,2.70 GHz,522 ppi,Nano-SIMi,Nano-SIMi,Hybrid Dual SIMi,"Galileoi
, GLONASSi
, GPSi",IP68i,"Beschleunigungssensor, Gyroskopi
, Herzfrequenzmesser, Kompass, Umgebungslichtsensori","Google Assistant, Samsung Bixby",1000 GB,microSDi,USB-C,Samsung Galaxy S10+ (12GB),,"Wi-Fi 1 / 802.11bi
, Wi-Fi 2 / 802.11ai
, Wi-Fi 3 / 802.11gi
, Wi-Fi 4 / 802.11ni
, Wi-Fi 5 / 802.11aci
, Wi-Fi 6 / 802.11ax"
10676219,3000 mAh,8 -Core,4 GB,10676219,,,Android,Android 8.0 (Oreo),"4.50""",LCDi,3:2,,,4.2,9.50 cm,Rot,5 Mpx,Atomic,505 g,"3.5mm Klinkenbuchse, Fingerprinti",2.20 f,BlackBerry,PRD-65004-050,5.80 cm,Dual Kamerai,13 Mpx,,Smartphonei,"Bluetoothi
, NFCi
, WiFi Hotspot, WLAN",Quick Charge 3.0,"USB Ladegerät, USB Ladekabel",17 cm,1620 x 1080 Pixels,Full HDi,Qualcomm Snapdragon 636,4Gi,,1620 x 1080 Pixels,1.80 GHz,434 ppi,Nano-SIMi,Nano-SIMi,Hybrid Dual SIMi,"A-GPS, GLONASSi",,"Annäherungssensor, Beschleunigungssensor, Gyroskopi
, Kompass",Google Assistant,64 GB,microSDXCi,USB-C,BlackBerry KEY2 LE,668 von 3430,"Wi-Fi 1 / 802.11bi
, Wi-Fi 2 / 802.11ai
, Wi-Fi 3 / 802.11gi
, Wi-Fi 4 / 802.11ni
, Wi-Fi 5 / 802.11aci"
11359513?supplier=406802,4200 mAh,8 -Core,3 GB,11359513,AACi,,Android,Android 9.0 (Pie),"5.50""",LCDi,18:9,,,5.0,9 cm,Schwarz,8 Mpx,Black,400 g,3.5mm Klinkenbuchse,,Rug Gear,99021510,16.50 cm,Single Kamerai,13 Mpx,,Smartphonei,"Bluetoothi
, NFCi
, WiFi Hotspot, WLAN",,"Kurzanleitung, USB Kabel",4 cm,1440 x 720 Pixels,,MediaTek Helio P22,4Gi,,1440 x 720 Pixels,2 GHz,,Nano-SIMi,Nano-SIMi,Hybrid Dual SIMi,"A-GPS, GLONASSi",MIL-STD-810Gi,"Annäherungssensor, Beschleunigungssensor, Umgebungslichtsensori",Google Assistant,32 GB,microSDHCi,Micro USB,Rug Gear RG655,901 von 3430,"Wi-Fi 1 / 802.11bi
, Wi-Fi 3 / 802.11gi
, Wi-Fi 4 / 802.11ni
, Wi-Fi 5 / 802.11aci"
11462229?supplier=406802,4400 mAh,8 -Core,4 GB,11462229,AACi,Li-Ioni,Android,Android 9,"5""",LCDi,16:9,,,5.0,10.80 cm,Schwarz,8 Mpx,Black,558 g,"3.5mm Klinkenbuchse, Face Unlocki",,Cyrus,CYR10150,5.50 cm,Single Kamerai,20 Mpx,HDRi,Smartphonei,"Bluetoothi
, NFCi
, WiFi Hotspot, WLAN",Qi Wireless Charging,"USB Ladegerät, USB Ladekabel",18 cm,1920 x 1080 Pixels,Full HDi,MediaTek Helio P35,4Gi,,1920 x 1080 Pixels,1.50 GHz,,Nano-SIMi,Nano-SIMi,Hybrid Dual SIMi,"A-GPS, Beidoui
, Galileoi
, GLONASSi
, GPSi","IP68i
, MIL-STD-810Gi","Annäherungssensor, Beschleunigungssensor, Gyroskopi
, Kompass, Umgebungslichtsensori",Google Assistant,64 GB,microSDi,USB-C,Cyrus CS45 XA,986 von 3430,"Wi-Fi 1 / 802.11bi
, Wi-Fi 2 / 802.11ai
, Wi-Fi 3 / 802.11gi
, Wi-Fi 4 / 802.11ni
, Wi-Fi 5 / 802.11aci"
11872012,3110 mAh,8 -Core,4 GB,11872012,"AACi
, Dolby Atmos",Li-Ioni,iOS,iOS 13,"6.10""",LCDi,19.5:9,240 Hz,60p,5.0,9.78 cm,Schwarz,12 Mpx,Black,365 g,Face Unlocki,1.80 f,Apple,MHDA3ZD/A,3 cm,Dual Kamerai,12 Mpx,Weitwinkeli,Smartphonei,"Bluetoothi
, NFCi
, WiFi Hotspot, WLAN",Qi Wireless Charging,"Dokumentation, USB‑C auf Lightning Kabel",17.42 cm,3840 x 2160 Pixels,UHD 4K,Apple A13 Bionic,4Gi,iPhone 11,1792 x 828 Pixels,,326 ppi,Nano-SIMi,"eSIMi
, Nano-SIMi",SIM + eSIM,"GLONASSi
, GPSi",IP68i,"Barometer, Beschleunigungssensor, Gyroskopi
, Kompass, Umgebungslichtsensori",Apple Siri,64 GB,,Lightningi,Apple iPhone 11,28 von 3430,"Wi-Fi 1 / 802.11bi
, Wi-Fi 2 / 802.11ai
, Wi-Fi 3 / 802.11gi
, Wi-Fi 4 / 802.11ni
, Wi-Fi 5 / 802.11aci"
11872346,3110 mAh,8 -Core,4 GB,11872346,"AACi
, Dolby Atmos",Li-Ioni,iOS,iOS 13,"6.10""",LCDi,19.5:9,240 Hz,60p,5.0,9.50 cm,Grün,12 Mpx,Green,372 g,Face Unlocki,1.80 f,Apple,MHDG3ZD/A,5.20 cm,Dual Kamerai,12 Mpx,Weitwinkeli,Smartphonei,"Bluetoothi
, NFCi
, WiFi Hotspot, WLAN",Qi Wireless Charging,"Dokumentation, USB‑C auf Lightning Kabel",17 cm,3840 x 2160 Pixels,UHD 4K,Apple A13 Bionic,4Gi,iPhone 11,1792 x 828 Pixels,,326 ppi,Nano-SIMi,"eSIMi
, Nano-SIMi",SIM + eSIM,"GLONASSi
, GPSi",IP68i,"Barometer, Beschleunigungssensor, Gyroskopi
, Kompass, Umgebungslichtsensori",Apple Siri,64 GB,,Lightningi,Apple iPhone 11,770 von 3430,"Wi-Fi 1 / 802.11bi
, Wi-Fi 2 / 802.11ai
, Wi-Fi 3 / 802.11gi
, Wi-Fi 4 / 802.11ni
, Wi-Fi 5 / 802.11aci"
11872354,3110 mAh,8 -Core,4 GB,11872354,"AACi
, Dolby Atmos",Li-Ioni,iOS,iOS 13,"6.10""",LCDi,19.5:9,240 Hz,60p,5.0,9.50 cm,Weiss,12 Mpx,White,366 g,Face Unlocki,1.80 f,Apple,MHDC3ZD/A,3.10 cm,Dual Kamerai,12 Mpx,Weitwinkeli,Smartphonei,"Bluetoothi
, NFCi
, WiFi Hotspot, WLAN",Qi Wireless Charging,"Dokumentation, USB‑C auf Lightning Kabel",17 cm,3840 x 2160 Pixels,UHD 4K,Apple A13 Bionic,4Gi,iPhone 11,1792 x 828 Pixels,,326 ppi,Nano-SIMi,"eSIMi
, Nano-SIMi",SIM + eSIM,"GLONASSi
, GPSi",IP68i,"Barometer, Beschleunigungssensor, Gyroskopi
, Kompass, Umgebungslichtsensori",Apple Siri,64 GB,,Lightningi,Apple iPhone 11,23 von 3430,"Wi-Fi 1 / 802.11bi
, Wi-Fi 2 / 802.11ai
, Wi-Fi 3 / 802.11gi
, Wi-Fi 4 / 802.11ni
, Wi-Fi 5 / 802.11aci"
11872363,3110 mAh,6 -Core,4 GB,11872363,"AACi
, Dolby Atmos",Li-Ioni,iOS,iOS 13,"6.10""",LCDi,19.5:9,60 Hz,60p,5.0,10.18 cm,Schwarz,12 Mpx,Black,372 g,Face Unlocki,1.80 f,Apple,MHDH3ZD/A,3.22 cm,Dual Kamerai,12 Mpx,Weitwinkeli,Smartphonei,"Bluetoothi
, NFCi
, WiFi Hotspot, WLAN",Qi Wireless Charging,"Dokumentation, USB‑C auf Lightning Kabel",17.41 cm,3840 x 2160 Pixels,UHD 4K,Apple A13 Bionic,4Gi,iPhone 11,1792 x 828 Pixels,2.65 GHz,326 ppi,Nano-SIMi,"eSIMi
, Nano-SIMi",SIM + eSIM,"GLONASSi
, GPSi",IP68i,"Barometer, Beschleunigungssensor, Gyroskopi
, Kompass, Umgebungslichtsensori",Apple Siri,128 GB,,Lightningi,Apple iPhone 11,12 von 3430,Wi-Fi 6 / 802.11ax
