number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,22.763433890709802,2023-09-15 23:15:52.489894,2023-09-15 23:17:14.502822,0 days 00:01:22.012928,0.3041821463391221,0.35794425022941456,12,408,0.4216248211553888,0.13231667414450865,0.5070839428840582,COMPLETE
1,18.545127113381152,2023-09-15 23:17:14.502822,2023-09-15 23:18:25.032808,0 days 00:01:10.529986,0.9499778758006681,0.04810005754278676,4,526,0.030949050158381675,0.2804596739154286,0.6324237580040837,COMPLETE
2,19.460001635840353,2023-09-15 23:18:25.032808,2023-09-15 23:19:20.220816,0 days 00:00:55.188008,0.45408574466044554,0.08765327897344255,12,249,0.4027475255661854,0.023315376428019174,0.3661358877703842,COMPLETE
3,19.09088679001345,2023-09-15 23:19:20.220816,2023-09-15 23:20:40.401867,0 days 00:01:20.181051,0.6971982955677032,0.15549735182454646,7,444,0.5656796054121951,0.25980953534394713,0.49784526910851945,COMPLETE
4,18.5412869644613,2023-09-15 23:20:40.401867,2023-09-15 23:21:18.951503,0 days 00:00:38.549636,0.7564615448612197,0.021106003972255268,6,225,0.11784945011854897,0.007642267695706306,0.6717941917033206,COMPLETE
5,26.12927823086584,2023-09-15 23:21:18.951503,2023-09-15 23:22:16.807416,0 days 00:00:57.855913,0.39776384432064726,0.7504738644963876,12,274,0.27423239711967196,0.14799568796814022,0.7832377224726568,COMPLETE
6,34.46936987032724,2023-09-15 23:22:16.807416,2023-09-15 23:23:22.833106,0 days 00:01:06.025690,0.947915707827868,0.39480012574749085,10,294,0.6105699658698329,0.7939975136892985,0.15748549979043208,COMPLETE
7,18.752252785635804,2023-09-15 23:23:22.833106,2023-09-15 23:24:05.458514,0 days 00:00:42.625408,0.8144570828084713,0.021994531904129085,6,242,0.23456542050156415,0.29271143415067924,0.7900206686881088,COMPLETE
8,52.926698748999556,2023-09-15 23:24:05.458514,2023-09-15 23:24:19.253302,0 days 00:00:13.794788,0.6667510143298032,0.8799994231218232,7,91,0.5643891021191382,0.8429374427822957,0.21627702060421528,COMPLETE
9,157.8107468175311,2023-09-15 23:24:19.253302,2023-09-15 23:24:35.290777,0 days 00:00:16.037475,0.1440164906656507,0.7582978738928969,12,174,0.4497470768202567,0.2098795266683091,0.20656381925956485,COMPLETE
10,25.048362021946495,2023-09-15 23:24:35.290777,2023-09-15 23:25:21.905187,0 days 00:00:46.614410,0.6015855695186529,0.27658138374771735,3,675,0.8322582534080731,0.5398203708701056,0.9787348558867572,COMPLETE
11,18.29042597872521,2023-09-15 23:25:21.905187,2023-09-15 23:26:38.048234,0 days 00:01:16.143047,0.9777776527080233,0.015450229027376573,4,570,0.046368176507381675,0.028282496412142068,0.7084602397924785,COMPLETE
12,22.14805535535713,2023-09-15 23:26:38.048234,2023-09-15 23:28:00.674493,0 days 00:01:22.626259,0.8176498604270206,0.2374586142261438,5,576,0.03338492492727457,0.0021224479360919778,0.6685559211761696,COMPLETE
13,21.173072781808255,2023-09-15 23:28:00.674493,2023-09-15 23:31:29.929220,0 days 00:03:29.254727,0.9565544910862623,0.17903707606724065,9,728,0.00279704024226779,0.0006705867021023233,0.8129845215868231,COMPLETE
14,22.805045998346365,2023-09-15 23:31:29.929220,2023-09-15 23:31:39.979518,0 days 00:00:10.050298,0.7734632476396659,0.49879136569881183,5,57,0.17828184859464943,0.40055111489393336,0.6260708306382812,COMPLETE
15,18.413747995096465,2023-09-15 23:31:39.979518,2023-09-15 23:32:33.037114,0 days 00:00:53.057596,0.9917611407683213,0.007074638643698963,3,554,0.14723705492715242,0.10144763393326986,0.9721393451139373,COMPLETE
16,20.580667932735953,2023-09-15 23:32:33.037114,2023-09-15 23:33:31.116194,0 days 00:00:58.079080,0.9787999852793096,0.14171939309086096,3,614,0.29206178290410084,0.5318620785939614,0.9901667417942986,COMPLETE
17,18.504489860641126,2023-09-15 23:33:31.116194,2023-09-15 23:34:27.661883,0 days 00:00:56.545689,0.8786224932186717,0.008227601615522549,4,494,0.12641392795167972,0.1344725145376236,0.9315784777428899,COMPLETE
18,21.473040202357176,2023-09-15 23:34:27.661883,2023-09-15 23:34:54.279700,0 days 00:00:26.617817,0.5865749836126803,0.2574191925898376,3,361,0.12956718407765633,0.41857193770652434,0.8982955541550783,COMPLETE
19,20.080319002457998,2023-09-15 23:34:54.295335,2023-09-15 23:37:41.862590,0 days 00:02:47.567255,0.8530807142468542,0.12198336102450075,9,624,0.3188605484902635,0.11364077140800066,0.888051161966875,COMPLETE
20,24.16494474877648,2023-09-15 23:37:41.862590,2023-09-15 23:38:43.182778,0 days 00:01:01.320188,0.8609966300233602,0.3329260328868567,4,527,0.19441255396908053,0.38321427970346633,0.8562850430655883,COMPLETE
21,19.78668036790088,2023-09-15 23:38:43.198404,2023-09-15 23:39:43.385724,0 days 00:01:00.187320,0.9990846194370427,0.005274393829282009,4,480,0.10681575642272412,0.10141799178477273,0.9137762108882088,COMPLETE
