listing_no,title,description,price_chf,full_name,Art,Zustand,displacement,year,brand,model,mileage_km,listing_type,last_edited,id,transmission,fuel,colour,mfk,drive
1,Kawasaki z650,"Kawasaki z650 (35kw)
Jahrgang: 2021 
Garantie: Bis mitte Mai 2024
Km-Stand: ca. 6k km 
Umbau: 
-Alle Blinker
-Alle Spiegel 
-Heck 
-Sturtzpads beidseits
Motorrad wurde immer gut gepflegt und mit viel Liebe gefahren.
",8000,Kawasaki z650,Gegenstand ,Neuwertig ,600 Cm3,2021,KAWASAKI,z650,5700,Angebot,2023-03-22,47499441,NA,NA,NA,no,NA
2,Kawasaki Z650,"Schön gepflegte und neuwertige Kawasaki Z650 zu verkaufen. 
Das Motorrad hat aktuell 3800km (wird noch gefahren), ist servicegepflegt und wird ab Service verkauft.
Grund des Verkaufs: Möchte auf Coffee Racer / Custom Bike umsteigen. 
Auf Wunsch und gegen Aufpreis von 200CHF wird die Kawasaki frisch ab MFK verkauft.
Für Fragen und weitere Bilder stehe ich gerne zur Verfügung.
",5950,Kawasaki Z650,Gegenstand ,Neuwertig ,600 Cm3,NA,KAWASAKI,Z650,3800,Angebot,2023-03-17,47404616,Schaltgetriebe,Benzin,Weiss,no,NA
3,KAWASAKI Z650 35KW,"ZUBEHRÖR:
  - 35Kw
  - Letzte Service vor 200KM
  - Sturzpads
  - Displayschutzfolie
  - Tankpad
  - Tifer Sattel mit GEL-Einlage
  Zustand: EMIL FREY FAHRZEUG
  Ausstattung:
  ABS
  Eigenschaften:
  Ab MFK",6990,KAWASAKI Z650 35KW,NA,NA,NA,2021,KAWASAKI,Z650 35KW,4500,Angebot,2023-03-31,47624293,Schaltgetriebe,Benzin,Weiss,yes,Hinterradantrieb
4,Kawasaki z650 35kw,"Kawasaki z650 wegen Umrüstung auf einen höheren Hubraum zu verkaufen, das Motorrad ist von 2020 mit 12.000.000 km.
Perfektes Fahrrad für diejenigen, die in die Welt der zweirädrigen Fahrschüler A2 35 kw einsteigen möchten.
Das Fahrrad ist ausgestattet mit:
 - LED Lichter
 - Kilometerzähler mit Farb-LCD-Bildschirm
 - Zweisitzer-Sattel
 - homologierter Sportkennzeichenhalter
 - Homologierte Sportblinker hinten und vorne
 - Zugelassene Sportlenkerspiegel
 - originaler Kawasaki-Auspuff
 - Schutzpolster für Stürze.
Motorrad stand immer in einer Garage.
Preis ist verhandelbar 
Vendesi Kawasaki z650 per passaggio ad una cilindrata superiore, la moto è del 2020 con 12.000 mila Km.
Moto perfetta per chi vuole iniziare nel mondo delle due ruote allievi conducenti A2 35 kw.
La moto è dotata di:
- Fari a led 
- Contachilometri con schermo LCD a colori 
- Sella biposto 
- portatarga sportivo omologato 
- frecce posteriori e anteriori sportive omologate 
- Specchietti a manubrio sportivi omologati 
- scarico originale Kawasaki
- Tamponi protettivi per caduta.
Moto tenuta sempre dentro un garage al coperto. 
Prezzo trattabile
",6200,Kawasaki z650 35kw,Gegenstand ,Neuwertig ,600 Cm3,2020,KAWASAKI,Z650,12000,Angebot,2023-04-01,47540209,Automatik,Benzin,NA,no,Kette
5,Kawasaki Z650 (35KW),"Motorrad im perfekten Zustand.
Swissgarantie bis 3.8.2023.
Service Mitte August 2022 durchgeführt, inkl. neuer Reifen.
Motorrad kann jederzeit unverbindlich vor Ort betrachtet werden.
",6000,Kawasaki Z650 (35KW),Gegenstand ,Neu ,600 Cm3,2020,KAWASAKI,Z650,11900,Angebot,2023-03-05,45250443,Schaltgetriebe,Benzin,Weiss,yes,Kette
6,Kawasaki Z650 (35kw),"Neuwertige Kawasaki Z650 (35kw), keine Gebrauchsspuren. 
Direkt ab 12‘000 km Service (siehe Fotos).
Performancepaket Lebel1 (Kurzheck, Ledblinker V+H, Minireflektor)
Gratis dazu gibt es noch einen neuen Vorderradpneu. 
Im Winter wurde das Motorrad nicht gebraucht. Immer in Garage parkiert.
Garantie 5 Jahre bis 15.04.2025 bei 2-Rad Wehrli GmbH in Belp. Alle Service müsse aber bei 2-Rad Wehrli GmbH gemacht werden.
",6800,Kawasaki Z650 (35kw),Gegenstand ,Neuwertig ,600 Cm3,2020,KAWASAKI,Z650 (35kw),10500,Angebot,2023-03-12,46868080,Schaltgetriebe,Benzin,Weiss,no,Kette
7,Kawasaki Z650 2019 4800 km 35 kW,"Kawasaki Z650
Inverkehrssetzung: 15.05.2019
Tachostand: 4'800 km
Farbe: weiss
Hubraum: 649 ccm
Leistung: 35 kW
Typenscheinnr: 6KA309
Motorrad Zustand: Top
Die grosse Ausstellungshalle mit über 700 Occasions-Motorräder ist von Montag bis Samstag für freie Besichtigung und Verkauf geöffnet. Unser qualifiziertes Werkstattteam steht für Reparaturen und Service von Dienstag bis Freitag für Sie bereit.
3 Monate Garantie, MFK, ab Service, Eintausch, Leasing, Finanzierung, Barzahlung und Lieferung nach Absprache möglich.
Auf Wunsch und nach Absprache veranlassen wir auch die Zulassung, sobald Sie bei Ihrer Versicherung einen Versicherungsnachweis bestellt haben.
Die Bezahlung kann online, per EC oder durch Barzahlung erfolgen.
Bei Fragen oder Unsicherheiten können Sie uns telefonisch oder per Mail via [Nachricht schreiben] erreichen.
",7900,Kawasaki Z650 2019 4800 km 35 kW,Gegenstand ,Geringe Gebrauchsspuren ,750 Ccm,2019,KAWASAKI,Z650,4800,Angebot,2023-03-30,47610474,NA,NA,Weiss,yes,NA
8,Kawasaki Z650 ABS 2017 5100 km 35 kW,"Kawasaki Z650 ABS
Inverkehrssetzung: 06.06.2017
Tachostand: 5'100 km
Farbe: weiss
Hubraum: 649 ccm
Leistung: 35 kW
Typenscheinnr: 6KA309
Motorrad Zustand: Top
Die grosse Ausstellungshalle mit über 200 Occasions-Motorräder ist von Montag bis Samstag für freie Besichtigung und Verkauf geöffnet. Unser qualifiziertes Werkstattteam steht für Reparaturen und Service von Dienstag bis Freitag für Sie bereit.
3 Monate Garantie, MFK, ab Service, Eintausch, Leasing, Finanzierung, Barzahlung und Lieferung nach Absprache möglich.
Auf Wunsch und nach Absprache veranlassen wir auch die Zulassung, sobald Sie bei Ihrer Versicherung einen Versicherungsnachweis bestellt haben.
Die Bezahlung kann online, per EC oder durch Barzahlung erfolgen.
Bei Fragen oder Unsicherheiten können Sie uns telefonisch oder per Mail via [Nachricht schreiben] erreichen.
",8300,Kawasaki Z650 ABS 2017 5100 km 35 kW,Gegenstand ,Geringe Gebrauchsspuren ,750 Ccm,2017,KAWASAKI,Z650 ABS,5100,Angebot,2023-03-30,47614673,NA,NA,Weiss,yes,NA
9,Kawasaki Z650 ABS 2018 13900 km 50 kW,"Kawasaki Z650 ABS
Inverkehrssetzung: 29.03.2018
Tachostand: 13'900 km
Farbe: grau
Hubraum: 649 ccm
Leistung: 50 kW
Typenscheinnr: 6KA309
Motorrad Zustand: Top
Die grosse Ausstellungshalle mit über 200 Occasions-Motorräder ist von Montag bis Samstag für freie Besichtigung und Verkauf geöffnet. Unser qualifiziertes Werkstattteam steht für Reparaturen und Service von Dienstag bis Freitag für Sie bereit.
3 Monate Garantie, MFK, ab Service, Eintausch, Leasing, Finanzierung, Barzahlung und Lieferung nach Absprache möglich.
Auf Wunsch und nach Absprache veranlassen wir auch die Zulassung, sobald Sie bei Ihrer Versicherung einen Versicherungsnachweis bestellt haben.
Die Bezahlung kann online, per EC oder durch Barzahlung erfolgen.
Bei Fragen oder Unsicherheiten können Sie uns telefonisch oder per Mail via [Nachricht schreiben] erreichen.
",8300,Kawasaki Z650 ABS 2018 13900 km 50 kW,Gegenstand ,Geringe Gebrauchsspuren ,750 Ccm,2018,KAWASAKI,Z650 ABS,13900,Angebot,2023-03-30,47612444,NA,NA,Grau,yes,NA
10,Kawasaki Z650 2020 10800 km 50 kW,"Kawasaki Z650
Inverkehrssetzung: 01.07.2020
Tachostand: 10'800 km
Farbe: schwarz
Hubraum: 649 ccm
Leistung: 50 kW
Typenscheinnr: 6KA350
Motorrad Zustand: Top
Die grosse Ausstellungshalle mit über 700 Occasions-Motorräder ist von Montag bis Samstag für freie Besichtigung und Verkauf geöffnet. Unser qualifiziertes Werkstattteam steht für Reparaturen und Service von Dienstag bis Freitag für Sie bereit.
3 Monate Garantie, MFK, ab Service, Eintausch, Leasing, Finanzierung, Barzahlung und Lieferung nach Absprache möglich.
Auf Wunsch und nach Absprache veranlassen wir auch die Zulassung, sobald Sie bei Ihrer Versicherung einen Versicherungsnachweis bestellt haben.
Die Bezahlung kann online, per EC oder durch Barzahlung erfolgen.
Bei Fragen oder Unsicherheiten können Sie uns telefonisch oder per Mail via [Nachricht schreiben] erreichen.
",8300,Kawasaki Z650 2020 10800 km 50 kW,Gegenstand ,Geringe Gebrauchsspuren ,750 Ccm,2020,KAWASAKI,Z650,10800,Angebot,2023-03-18,47420753,NA,NA,Schwarz,no,NA
