LAU1,Canton,LAU2,Commune,Type,kW
1,Capellen,101,Dippach,Installation photovoltaïque,1.32
1,Capellen,101,Dippach,Installation photovoltaïque,1.4
1,Capellen,101,Dippach,Installation photovoltaïque,1.4
1,Capellen,101,Dippach,Installation photovoltaïque,1.9
1,Capellen,101,Dippach,Installation photovoltaïque,1.98
1,Capellen,101,Dippach,Installation photovoltaïque,2
1,Capellen,101,Dippach,Installation photovoltaïque,2.45
1,Capellen,101,Dippach,Installation photovoltaïque,2.56
1,Capellen,101,Dippach,Installation photovoltaïque,2.88
1,Capellen,101,Dippach,Installation photovoltaïque,2.88
1,Capellen,101,Dippach,Installation photovoltaïque,2.88
1,Capellen,101,Dippach,Installation photovoltaïque,2.88
1,Capellen,101,Dippach,Installation photovoltaïque,2.88
1,Capellen,101,Dippach,Installation photovoltaïque,2.88
1,Capellen,101,Dippach,Installation photovoltaïque,2.94
1,Capellen,101,Dippach,Installation photovoltaïque,3.56
1,Capellen,101,Dippach,Installation photovoltaïque,3.6
1,Capellen,101,Dippach,Installation photovoltaïque,3.84
1,Capellen,101,Dippach,Installation photovoltaïque,3.9
1,Capellen,101,Dippach,Installation photovoltaïque,3.96
1,Capellen,101,Dippach,Installation photovoltaïque,4
1,Capellen,101,Dippach,Installation photovoltaïque,4
1,Capellen,101,Dippach,Installation photovoltaïque,4
1,Capellen,101,Dippach,Installation photovoltaïque,4
1,Capellen,101,Dippach,Installation photovoltaïque,4.18
1,Capellen,101,Dippach,Installation photovoltaïque,4.42
1,Capellen,101,Dippach,Installation photovoltaïque,4.59
1,Capellen,101,Dippach,Installation photovoltaïque,5.2
1,Capellen,101,Dippach,Installation photovoltaïque,5.5
1,Capellen,101,Dippach,Installation photovoltaïque,5.55
1,Capellen,101,Dippach,Installation photovoltaïque,5.7
1,Capellen,101,Dippach,Installation photovoltaïque,5.94
1,Capellen,101,Dippach,Installation photovoltaïque,6
1,Capellen,101,Dippach,Installation photovoltaïque,6
1,Capellen,101,Dippach,Installation photovoltaïque,6.48
1,Capellen,101,Dippach,Installation photovoltaïque,6.5
1,Capellen,101,Dippach,Installation photovoltaïque,6.72
1,Capellen,101,Dippach,Installation photovoltaïque,7.2
1,Capellen,101,Dippach,Installation photovoltaïque,7.2
1,Capellen,101,Dippach,Installation photovoltaïque,7.25
1,Capellen,101,Dippach,Installation photovoltaïque,7.35
1,Capellen,101,Dippach,Installation photovoltaïque,7.38
1,Capellen,101,Dippach,Installation photovoltaïque,7.41
1,Capellen,101,Dippach,Installation photovoltaïque,7.5
1,Capellen,101,Dippach,Installation photovoltaïque,7.7
1,Capellen,101,Dippach,Installation photovoltaïque,7.74
1,Capellen,101,Dippach,Installation photovoltaïque,7.82
1,Capellen,101,Dippach,Installation photovoltaïque,7.84
1,Capellen,101,Dippach,Installation photovoltaïque,7.88
1,Capellen,101,Dippach,Installation photovoltaïque,7.9
1,Capellen,101,Dippach,Installation photovoltaïque,8
1,Capellen,101,Dippach,Installation photovoltaïque,8.1
1,Capellen,101,Dippach,Installation photovoltaïque,8.16
1,Capellen,101,Dippach,Installation photovoltaïque,8.25
1,Capellen,101,Dippach,Installation photovoltaïque,8.28
1,Capellen,101,Dippach,Installation photovoltaïque,8.7
1,Capellen,101,Dippach,Installation photovoltaïque,8.84
1,Capellen,101,Dippach,Installation photovoltaïque,9.02
1,Capellen,101,Dippach,Installation photovoltaïque,9.25
1,Capellen,101,Dippach,Installation photovoltaïque,9.25
1,Capellen,101,Dippach,Installation photovoltaïque,9.6
1,Capellen,101,Dippach,Installation photovoltaïque,9.62
1,Capellen,101,Dippach,Installation photovoltaïque,9.92
1,Capellen,101,Dippach,Installation photovoltaïque,9.92
1,Capellen,101,Dippach,Installation photovoltaïque,9.99
1,Capellen,101,Dippach,Installation photovoltaïque,10
1,Capellen,101,Dippach,Installation photovoltaïque,10.05
1,Capellen,101,Dippach,Installation photovoltaïque,10.44
1,Capellen,101,Dippach,Installation photovoltaïque,11.2
1,Capellen,101,Dippach,Installation photovoltaïque,11.5
1,Capellen,101,Dippach,Installation photovoltaïque,11.78
1,Capellen,101,Dippach,Installation photovoltaïque,12
1,Capellen,101,Dippach,Installation photovoltaïque,12
1,Capellen,101,Dippach,Installation photovoltaïque,12
1,Capellen,101,Dippach,Installation photovoltaïque,12.1
1,Capellen,101,Dippach,Installation photovoltaïque,12.48
1,Capellen,101,Dippach,Installation photovoltaïque,12.76
1,Capellen,101,Dippach,Installation photovoltaïque,12.95
1,Capellen,101,Dippach,Installation photovoltaïque,15
1,Capellen,101,Dippach,Installation photovoltaïque,16
1,Capellen,101,Dippach,Installation photovoltaïque,16.32
1,Capellen,101,Dippach,Installation photovoltaïque,17.02
1,Capellen,101,Dippach,Installation photovoltaïque,17.16
1,Capellen,101,Dippach,Installation photovoltaïque,17.88
1,Capellen,101,Dippach,Installation photovoltaïque,22.04
1,Capellen,101,Dippach,Installation photovoltaïque,22.4
1,Capellen,101,Dippach,Installation photovoltaïque,23.93
1,Capellen,101,Dippach,Installation photovoltaïque,24
1,Capellen,101,Dippach,Installation photovoltaïque,24.96
1,Capellen,101,Dippach,Installation photovoltaïque,25
1,Capellen,101,Dippach,Installation photovoltaïque,25
1,Capellen,101,Dippach,Installation photovoltaïque,28.2
1,Capellen,101,Dippach,Installation photovoltaïque,29.37
1,Capellen,101,Dippach,Installation photovoltaïque,29.89
1,Capellen,101,Dippach,Installation photovoltaïque,29.9
1,Capellen,101,Dippach,Installation photovoltaïque,29.92
1,Capellen,101,Dippach,Installation photovoltaïque,30
1,Capellen,101,Dippach,Installation photovoltaïque,30
1,Capellen,101,Dippach,Installation photovoltaïque,30
1,Capellen,101,Dippach,Installation photovoltaïque,69.6
1,Capellen,101,Dippach,Installation photovoltaïque,76.8
1,Capellen,101,Dippach,Installation photovoltaïque,181.5
1,Capellen,102,Garnich,Eolienne,3500
1,Capellen,102,Garnich,Eolienne,3500
1,Capellen,102,Garnich,Installation photovoltaïque,2.04
1,Capellen,102,Garnich,Installation photovoltaïque,2.5
1,Capellen,102,Garnich,Installation photovoltaïque,2.88
1,Capellen,102,Garnich,Installation photovoltaïque,3
1,Capellen,102,Garnich,Installation photovoltaïque,3
1,Capellen,102,Garnich,Installation photovoltaïque,3.3
1,Capellen,102,Garnich,Installation photovoltaïque,3.8
1,Capellen,102,Garnich,Installation photovoltaïque,3.99
1,Capellen,102,Garnich,Installation photovoltaïque,4
1,Capellen,102,Garnich,Installation photovoltaïque,4
1,Capellen,102,Garnich,Installation photovoltaïque,4
1,Capellen,102,Garnich,Installation photovoltaïque,4.08
1,Capellen,102,Garnich,Installation photovoltaïque,4.2
1,Capellen,102,Garnich,Installation photovoltaïque,4.2
1,Capellen,102,Garnich,Installation photovoltaïque,4.5
1,Capellen,102,Garnich,Installation photovoltaïque,5.15
1,Capellen,102,Garnich,Installation photovoltaïque,5.5
1,Capellen,102,Garnich,Installation photovoltaïque,5.6
1,Capellen,102,Garnich,Installation photovoltaïque,5.92
1,Capellen,102,Garnich,Installation photovoltaïque,6
1,Capellen,102,Garnich,Installation photovoltaïque,6.48
1,Capellen,102,Garnich,Installation photovoltaïque,6.5
1,Capellen,102,Garnich,Installation photovoltaïque,7.02
1,Capellen,102,Garnich,Installation photovoltaïque,7.02
1,Capellen,102,Garnich,Installation photovoltaïque,7.04
1,Capellen,102,Garnich,Installation photovoltaïque,7.54
1,Capellen,102,Garnich,Installation photovoltaïque,7.65
1,Capellen,102,Garnich,Installation photovoltaïque,7.8
1,Capellen,102,Garnich,Installation photovoltaïque,7.9
1,Capellen,102,Garnich,Installation photovoltaïque,8
1,Capellen,102,Garnich,Installation photovoltaïque,8
1,Capellen,102,Garnich,Installation photovoltaïque,8
1,Capellen,102,Garnich,Installation photovoltaïque,8.09
1,Capellen,102,Garnich,Installation photovoltaïque,8.38
1,Capellen,102,Garnich,Installation photovoltaïque,8.62
1,Capellen,102,Garnich,Installation photovoltaïque,8.62
1,Capellen,102,Garnich,Installation photovoltaïque,8.66
1,Capellen,102,Garnich,Installation photovoltaïque,8.8
1,Capellen,102,Garnich,Installation photovoltaïque,8.96
1,Capellen,102,Garnich,Installation photovoltaïque,9
1,Capellen,102,Garnich,Installation photovoltaïque,9
1,Capellen,102,Garnich,Installation photovoltaïque,9.33
1,Capellen,102,Garnich,Installation photovoltaïque,9.36
1,Capellen,102,Garnich,Installation photovoltaïque,9.45
1,Capellen,102,Garnich,Installation photovoltaïque,9.6
1,Capellen,102,Garnich,Installation photovoltaïque,9.7
1,Capellen,102,Garnich,Installation photovoltaïque,9.72
1,Capellen,102,Garnich,Installation photovoltaïque,9.75
1,Capellen,102,Garnich,Installation photovoltaïque,9.99
1,Capellen,102,Garnich,Installation photovoltaïque,10
1,Capellen,102,Garnich,Installation photovoltaïque,10.05
1,Capellen,102,Garnich,Installation photovoltaïque,10.8
1,Capellen,102,Garnich,Installation photovoltaïque,11
1,Capellen,102,Garnich,Installation photovoltaïque,11.4
1,Capellen,102,Garnich,Installation photovoltaïque,11.44
1,Capellen,102,Garnich,Installation photovoltaïque,11.7
1,Capellen,102,Garnich,Installation photovoltaïque,11.84
1,Capellen,102,Garnich,Installation photovoltaïque,12
1,Capellen,102,Garnich,Installation photovoltaïque,12.42
1,Capellen,102,Garnich,Installation photovoltaïque,12.72
1,Capellen,102,Garnich,Installation photovoltaïque,12.99
1,Capellen,102,Garnich,Installation photovoltaïque,13.23
1,Capellen,102,Garnich,Installation photovoltaïque,14.5
1,Capellen,102,Garnich,Installation photovoltaïque,14.65
1,Capellen,102,Garnich,Installation photovoltaïque,15.98
1,Capellen,102,Garnich,Installation photovoltaïque,16
1,Capellen,102,Garnich,Installation photovoltaïque,16.67
1,Capellen,102,Garnich,Installation photovoltaïque,16.8
1,Capellen,102,Garnich,Installation photovoltaïque,17.32
1,Capellen,102,Garnich,Installation photovoltaïque,18
1,Capellen,102,Garnich,Installation photovoltaïque,19.72
1,Capellen,102,Garnich,Installation photovoltaïque,20
1,Capellen,102,Garnich,Installation photovoltaïque,20.72
1,Capellen,102,Garnich,Installation photovoltaïque,21
1,Capellen,102,Garnich,Installation photovoltaïque,22.72
1,Capellen,102,Garnich,Installation photovoltaïque,24
1,Capellen,102,Garnich,Installation photovoltaïque,27
1,Capellen,102,Garnich,Installation photovoltaïque,28.05
1,Capellen,102,Garnich,Installation photovoltaïque,28.08
1,Capellen,102,Garnich,Installation photovoltaïque,29.68
1,Capellen,102,Garnich,Installation photovoltaïque,29.76
1,Capellen,102,Garnich,Installation photovoltaïque,29.83
1,Capellen,102,Garnich,Installation photovoltaïque,30
1,Capellen,102,Garnich,Installation photovoltaïque,30
1,Capellen,102,Garnich,Installation photovoltaïque,30
1,Capellen,102,Garnich,Installation photovoltaïque,30
1,Capellen,102,Garnich,Installation photovoltaïque,200
1,Capellen,103,Habscht,Installation photovoltaïque,2.1
1,Capellen,103,Habscht,Installation photovoltaïque,2.58
1,Capellen,103,Habscht,Installation photovoltaïque,2.87
1,Capellen,103,Habscht,Installation photovoltaïque,3.36
1,Capellen,103,Habscht,Installation photovoltaïque,3.58
1,Capellen,103,Habscht,Installation photovoltaïque,3.7
1,Capellen,103,Habscht,Installation photovoltaïque,3.75
1,Capellen,103,Habscht,Installation photovoltaïque,3.9
1,Capellen,103,Habscht,Installation photovoltaïque,4
1,Capellen,103,Habscht,Installation photovoltaïque,4.14
1,Capellen,103,Habscht,Installation photovoltaïque,4.14
1,Capellen,103,Habscht,Installation photovoltaïque,4.16
1,Capellen,103,Habscht,Installation photovoltaïque,4.2
1,Capellen,103,Habscht,Installation photovoltaïque,4.77
1,Capellen,103,Habscht,Installation photovoltaïque,5.2
1,Capellen,103,Habscht,Installation photovoltaïque,5.25
1,Capellen,103,Habscht,Installation photovoltaïque,5.28
1,Capellen,103,Habscht,Installation photovoltaïque,5.53
1,Capellen,103,Habscht,Installation photovoltaïque,5.94
1,Capellen,103,Habscht,Installation photovoltaïque,6
1,Capellen,103,Habscht,Installation photovoltaïque,6.13
1,Capellen,103,Habscht,Installation photovoltaïque,6.2
1,Capellen,103,Habscht,Installation photovoltaïque,6.24
1,Capellen,103,Habscht,Installation photovoltaïque,6.65
1,Capellen,103,Habscht,Installation photovoltaïque,6.9
1,Capellen,103,Habscht,Installation photovoltaïque,7.31
1,Capellen,103,Habscht,Installation photovoltaïque,7.56
1,Capellen,103,Habscht,Installation photovoltaïque,7.68
1,Capellen,103,Habscht,Installation photovoltaïque,7.71
1,Capellen,103,Habscht,Installation photovoltaïque,7.92
1,Capellen,103,Habscht,Installation photovoltaïque,7.95
1,Capellen,103,Habscht,Installation photovoltaïque,8
1,Capellen,103,Habscht,Installation photovoltaïque,8
1,Capellen,103,Habscht,Installation photovoltaïque,8
1,Capellen,103,Habscht,Installation photovoltaïque,8.4
1,Capellen,103,Habscht,Installation photovoltaïque,8.5
1,Capellen,103,Habscht,Installation photovoltaïque,8.7
1,Capellen,103,Habscht,Installation photovoltaïque,9.25
1,Capellen,103,Habscht,Installation photovoltaïque,9.36
1,Capellen,103,Habscht,Installation photovoltaïque,9.54
1,Capellen,103,Habscht,Installation photovoltaïque,9.57
1,Capellen,103,Habscht,Installation photovoltaïque,9.75
1,Capellen,103,Habscht,Installation photovoltaïque,9.76
1,Capellen,103,Habscht,Installation photovoltaïque,9.88
1,Capellen,103,Habscht,Installation photovoltaïque,9.9
1,Capellen,103,Habscht,Installation photovoltaïque,9.9
1,Capellen,103,Habscht,Installation photovoltaïque,9.92
1,Capellen,103,Habscht,Installation photovoltaïque,10
1,Capellen,103,Habscht,Installation photovoltaïque,10.36
1,Capellen,103,Habscht,Installation photovoltaïque,10.5
1,Capellen,103,Habscht,Installation photovoltaïque,10.5
1,Capellen,103,Habscht,Installation photovoltaïque,10.64
1,Capellen,103,Habscht,Installation photovoltaïque,11.12
1,Capellen,103,Habscht,Installation photovoltaïque,11.6
1,Capellen,103,Habscht,Installation photovoltaïque,12
1,Capellen,103,Habscht,Installation photovoltaïque,12.25
1,Capellen,103,Habscht,Installation photovoltaïque,12.75
1,Capellen,103,Habscht,Installation photovoltaïque,13.65
1,Capellen,103,Habscht,Installation photovoltaïque,14.21
1,Capellen,103,Habscht,Installation photovoltaïque,14.59
1,Capellen,103,Habscht,Installation photovoltaïque,16
1,Capellen,103,Habscht,Installation photovoltaïque,17.42
1,Capellen,103,Habscht,Installation photovoltaïque,18.6
1,Capellen,103,Habscht,Installation photovoltaïque,20.3
1,Capellen,103,Habscht,Installation photovoltaïque,21
1,Capellen,103,Habscht,Installation photovoltaïque,21
1,Capellen,103,Habscht,Installation photovoltaïque,21.78
1,Capellen,103,Habscht,Installation photovoltaïque,22
1,Capellen,103,Habscht,Installation photovoltaïque,22.2
1,Capellen,103,Habscht,Installation photovoltaïque,23.85
1,Capellen,103,Habscht,Installation photovoltaïque,26.15
1,Capellen,103,Habscht,Installation photovoltaïque,26.4
1,Capellen,103,Habscht,Installation photovoltaïque,29.61
1,Capellen,103,Habscht,Installation photovoltaïque,29.64
1,Capellen,103,Habscht,Installation photovoltaïque,29.64
1,Capellen,103,Habscht,Installation photovoltaïque,29.76
1,Capellen,103,Habscht,Installation photovoltaïque,29.76
1,Capellen,103,Habscht,Installation photovoltaïque,29.88
1,Capellen,103,Habscht,Installation photovoltaïque,29.88
1,Capellen,103,Habscht,Installation photovoltaïque,29.89
1,Capellen,103,Habscht,Installation photovoltaïque,29.9
1,Capellen,103,Habscht,Installation photovoltaïque,29.9
1,Capellen,103,Habscht,Installation photovoltaïque,29.96
1,Capellen,103,Habscht,Installation photovoltaïque,30
1,Capellen,103,Habscht,Installation photovoltaïque,30
1,Capellen,103,Habscht,Installation photovoltaïque,31.3
1,Capellen,103,Habscht,Installation photovoltaïque,32
1,Capellen,103,Habscht,Installation photovoltaïque,48.96
1,Capellen,103,Habscht,Installation photovoltaïque,48.96
1,Capellen,103,Habscht,Installation photovoltaïque,89.1
1,Capellen,103,Habscht,Installation photovoltaïque,133.98
1,Capellen,103,Habscht,Installation photovoltaïque,170.61
1,Capellen,103,Habscht,Installation photovoltaïque,199.98
1,Capellen,103,Habscht,Installation photovoltaïque,200
1,Capellen,103,Habscht,Installation photovoltaïque,200
1,Capellen,104,Käerjeng,Cogénération,5.3
1,Capellen,104,Käerjeng,Cogénération,5.5
1,Capellen,104,Käerjeng,Cogénération,600
1,Capellen,104,Käerjeng,Installation photovoltaïque,1.4
1,Capellen,104,Käerjeng,Installation photovoltaïque,3
1,Capellen,104,Käerjeng,Installation photovoltaïque,3
1,Capellen,104,Käerjeng,Installation photovoltaïque,3
1,Capellen,104,Käerjeng,Installation photovoltaïque,3
1,Capellen,104,Käerjeng,Installation photovoltaïque,3.15
1,Capellen,104,Käerjeng,Installation photovoltaïque,3.52
1,Capellen,104,Käerjeng,Installation photovoltaïque,3.6
1,Capellen,104,Käerjeng,Installation photovoltaïque,3.84
1,Capellen,104,Käerjeng,Installation photovoltaïque,3.85
1,Capellen,104,Käerjeng,Installation photovoltaïque,3.9
1,Capellen,104,Käerjeng,Installation photovoltaïque,3.92
1,Capellen,104,Käerjeng,Installation photovoltaïque,3.96
1,Capellen,104,Käerjeng,Installation photovoltaïque,3.96
1,Capellen,104,Käerjeng,Installation photovoltaïque,4
1,Capellen,104,Käerjeng,Installation photovoltaïque,4
1,Capellen,104,Käerjeng,Installation photovoltaïque,4
1,Capellen,104,Käerjeng,Installation photovoltaïque,4
1,Capellen,104,Käerjeng,Installation photovoltaïque,4
1,Capellen,104,Käerjeng,Installation photovoltaïque,4
1,Capellen,104,Käerjeng,Installation photovoltaïque,4
1,Capellen,104,Käerjeng,Installation photovoltaïque,4.44
1,Capellen,104,Käerjeng,Installation photovoltaïque,4.5
1,Capellen,104,Käerjeng,Installation photovoltaïque,4.56
1,Capellen,104,Käerjeng,Installation photovoltaïque,4.76
