Age;Sexe;Nationalite;Quartier
54;M;I;MERL
3;M;B;GARE
49;F;F;KIRCHBERG
37;F;TJ;MERL
53;M;L;LIMPERTSBERG
38;M;TJ;MERL
8;M;TJ;MERL
39;M;TC;ROLLINGERGRUND/BELAIR-NORD
28;M;F;BONNEVOIE-SUD
29;F;F;ROLLINGERGRUND/BELAIR-NORD
4;M;F;ROLLINGERGRUND/BELAIR-NORD
2;F;F;ROLLINGERGRUND/BELAIR-NORD
21;F;B;HOLLERICH
1;M;BR;BONNEVOIE-SUD
43;F;MK;DOMMELDANGE
29;F;BR;BONNEVOIE-SUD
28;M;BR;GARE
6;F;BG;MERL
9;F;L;ROLLINGERGRUND/BELAIR-NORD
26;F;GR;BELAIR
19;F;B;EICH
70;M;D;BONNEVOIE-NORD/VERLORENKOST
0;F;F;BONNEVOIE-SUD
34;M;IND;NEUDORF/WEIMERSHOF
62;F;L;BELAIR
62;M;I;CENTS
62;M;I;BELAIR
62;F;P;BONNEVOIE-NORD/VERLORENKOST
62;F;L;CENTS
62;F;L;VILLE-HAUTE
62;M;P;EICH
62;F;F;BONNEVOIE-SUD
62;M;GB;KIRCHBERG
62;M;L;LIMPERTSBERG
62;M;I;LIMPERTSBERG
62;M;P;MERL
62;M;L;CENTS
62;M;P;GARE
62;F;L;CLAUSEN
62;M;F;BONNEVOIE-SUD
62;F;D;DOMMELDANGE
62;F;L;CLAUSEN
62;M;I;GARE
62;F;L;GARE
63;F;L;BEGGEN
63;M;P;GARE
63;F;P;MERL
63;M;L;GARE
63;M;P;HOLLERICH
63;M;L;BONNEVOIE-SUD
63;M;L;BONNEVOIE-SUD
63;M;P;BELAIR
63;F;ZA;MUEHLENBACH
63;F;L;BONNEVOIE-SUD
63;F;L;GASPERICH
63;F;I;GARE
63;F;L;CLAUSEN
63;M;BIH;GASPERICH
63;M;RCH;BONNEVOIE-SUD
63;F;L;HAMM
63;F;L;HOLLERICH
63;M;P;BONNEVOIE-SUD
63;F;GB;GARE
62;F;L;CENTS
62;F;R;MERL
62;M;F;BELAIR
62;M;S;VILLE-HAUTE
62;M;I;GARE
62;F;F;BELAIR
62;M;F;NEUDORF/WEIMERSHOF
62;M;B;BELAIR
62;M;L;BELAIR
62;M;DK;BONNEVOIE-NORD/VERLORENKOST
62;F;L;GARE
62;M;L;HAMM
62;M;F;GASPERICH
62;M;P;HOLLERICH
62;F;I;LIMPERTSBERG
62;M;L;WEIMERSKIRCH
62;F;P;BONNEVOIE-NORD/VERLORENKOST
62;F;P;GASPERICH
62;F;L;KIRCHBERG
62;F;L;MUEHLENBACH
50;M;L;MERL
0;F;L;BONNEVOIE-SUD
49;F;F;BONNEVOIE-NORD/VERLORENKOST
92;F;D;BELAIR
18;M;AFG;BELAIR
6;F;RUS;KIRCHBERG
28;M;L;GASPERICH
62;M;L;GARE
62;F;F;BONNEVOIE-NORD/VERLORENKOST
62;M;L;BELAIR
62;F;L;CENTS
62;F;L;CENTS
62;F;P;WEIMERSKIRCH
62;M;L;CENTS
62;M;DK;CENTS
62;F;D;DOMMELDANGE
62;F;P;BEGGEN
62;M;L;BONNEVOIE-SUD
62;M;L;MERL
62;M;L;CESSANGE
62;F;P;BONNEVOIE-SUD
62;M;E;MERL
62;M;L;BELAIR
62;M;B;BELAIR
62;F;L;BONNEVOIE-NORD/VERLORENKOST
22;M;D;GARE
49;M;F;BELAIR
36;F;L;CENTS
30;F;L;BONNEVOIE-SUD
59;F;F;HOLLERICH
45;M;L;GASPERICH
50;M;L;LIMPERTSBERG
27;M;TJ;HOLLERICH
38;M;D;NEUDORF/WEIMERSHOF
63;F;IRL;CENTS
63;M;IS;LIMPERTSBERG
63;M;L;BONNEVOIE-SUD
63;F;L;CENTS
63;F;L;BELAIR
63;F;L;BELAIR
63;M;I;HOLLERICH
63;M;I;HAMM
63;F;NL;LIMPERTSBERG
63;M;I;EICH
63;M;GB;GASPERICH
63;F;NL;BONNEVOIE-SUD
63;F;F;GASPERICH
63;F;F;GARE
63;M;F;KIRCHBERG
63;F;L;BELAIR
63;F;I;LIMPERTSBERG
63;F;L;BONNEVOIE-NORD/VERLORENKOST
63;M;B;BONNEVOIE-NORD/VERLORENKOST
63;F;P;VILLE-HAUTE
63;M;L;KIRCHBERG
63;M;I;BONNEVOIE-SUD
63;F;B;LIMPERTSBERG
63;F;E;GARE
63;M;P;BONNEVOIE-SUD
63;F;P;BEGGEN
63;M;F;DOMMELDANGE
63;F;B;HOLLERICH
63;M;L;LIMPERTSBERG
63;F;L;CENTS
63;M;B;LIMPERTSBERG
63;F;GR;BELAIR
63;F;D;WEIMERSKIRCH
63;M;IRL;WEIMERSKIRCH
63;M;L;CENTS
63;F;L;BELAIR
63;M;GB;BONNEVOIE-NORD/VERLORENKOST
63;M;P;BONNEVOIE-SUD
63;M;N;CENTS
63;F;L;KIRCHBERG
63;F;F;GARE
63;M;P;BONNEVOIE-SUD
63;M;L;GARE
62;M;GR;CENTS
62;M;P;WEIMERSKIRCH
62;F;P;PFAFFENTHAL
62;F;L;BELAIR
62;M;P;BONNEVOIE-SUD
62;F;F;BELAIR
62;M;E;BONNEVOIE-SUD
62;F;L;BONNEVOIE-SUD
62;M;CH;EICH
62;M;L;EICH
62;M;I;CENTS
62;F;P;BONNEVOIE-SUD
62;F;L;GASPERICH
62;F;F;CENTS
62;M;S;BONNEVOIE-NORD/VERLORENKOST
62;F;L;BONNEVOIE-SUD
62;F;L;BELAIR
63;F;L;GASPERICH
63;M;FIN;KIRCHBERG
63;M;P;BONNEVOIE-SUD
63;M;L;CENTS
63;M;L;KIRCHBERG
63;M;P;GARE
63;M;L;BONNEVOIE-SUD
63;M;L;LIMPERTSBERG
63;F;P;MERL
63;F;L;DOMMELDANGE
63;F;T;BONNEVOIE-NORD/VERLORENKOST
63;M;F;MERL
63;F;F;LIMPERTSBERG
63;F;L;BONNEVOIE-SUD
63;M;L;CENTS
63;F;BG;NEUDORF/WEIMERSHOF
63;M;L;MUEHLENBACH
63;M;I;HOLLERICH
63;F;L;PFAFFENTHAL
63;F;P;HAMM
63;F;J;BONNEVOIE-NORD/VERLORENKOST
63;F;L;BELAIR
63;F;I;BELAIR
63;M;P;CESSANGE
63;F;F;NEUDORF/WEIMERSHOF
63;M;L;EICH
63;F;P;NEUDORF/WEIMERSHOF
63;F;DK;KIRCHBERG
63;M;F;BELAIR
63;M;F;LIMPERTSBERG
63;M;F;VILLE-HAUTE
63;F;L;PFAFFENTHAL
63;M;F;BELAIR
63;M;I;LIMPERTSBERG
63;F;A;BONNEVOIE-SUD
63;F;D;KIRCHBERG
63;F;P;GARE
63;F;I;BEGGEN
63;F;GR;MERL
63;F;PL;GARE
63;M;GB;VILLE-HAUTE
63;M;F;VILLE-HAUTE
63;M;D;DOMMELDANGE
62;M;L;BELAIR
62;F;L;KIRCHBERG
62;F;L;GASPERICH
62;F;D;BONNEVOIE-NORD/VERLORENKOST
62;F;L;BONNEVOIE-SUD
62;F;P;BONNEVOIE-NORD/VERLORENKOST
62;M;L;BONNEVOIE-SUD
62;M;L;CENTS
62;F;P;NEUDORF/WEIMERSHOF
62;F;P;BONNEVOIE-SUD
62;F;L;WEIMERSKIRCH
62;F;BG;HOLLERICH
62;M;L;MERL
62;F;L;BONNEVOIE-SUD
62;F;L;CENTS
62;F;P;EICH
62;M;L;BEGGEN
62;M;P;BONNEVOIE-SUD
62;F;F;HOLLERICH
62;F;E;GARE
62;M;L;CENTS
62;M;L;BONNEVOIE-SUD
62;F;B;BELAIR
62;F;L;KIRCHBERG
62;F;L;CENTS
62;M;L;DOMMELDANGE
62;F;P;HOLLERICH
62;M;L;ROLLINGERGRUND/BELAIR-NORD
62;F;L;HAMM
62;M;P;ROLLINGERGRUND/BELAIR-NORD
62;M;P;BEGGEN
62;M;P;HOLLERICH
62;F;GB;PULVERMUEHL
62;M;L;LIMPERTSBERG
62;M;P;GARE
62;M;L;DOMMELDANGE
62;M;I;CENTS
62;F;L;BEGGEN
62;M;P;ROLLINGERGRUND/BELAIR-NORD
62;M;I;BONNEVOIE-SUD
62;F;P;BONNEVOIE-SUD
62;M;L;BONNEVOIE-SUD
62;F;F;LIMPERTSBERG
62;F;L;EICH
62;M;L;PFAFFENTHAL
62;M;L;BONNEVOIE-SUD
62;F;L;LIMPERTSBERG
63;M;B;MERL
63;M;MA;NEUDORF/WEIMERSHOF
63;M;F;LIMPERTSBERG
63;F;CV;GARE
63;F;NL;KIRCHBERG
63;F;L;BONNEVOIE-SUD
63;M;L;CESSANGE
63;M;F;CESSANGE
63;M;E;KIRCHBERG
63;M;P;GASPERICH
63;M;LTU;KIRCHBERG
63;F;L;BONNEVOIE-NORD/VERLORENKOST
63;M;D;BELAIR
63;M;P;BONNEVOIE-SUD
63;M;L;LIMPERTSBERG
63;M;P;GASPERICH
63;M;P;CLAUSEN
63;M;E;BELAIR
63;F;P;MERL
63;F;P;HOLLERICH
63;M;S;BELAIR
63;M;N;DOMMELDANGE
63;F;L;BONNEVOIE-SUD
63;M;L;BONNEVOIE-SUD
63;M;L;HAMM
63;M;GR;ROLLINGERGRUND/BELAIR-NORD
63;M;L;BONNEVOIE-SUD
63;F;L;BONNEVOIE-NORD/VERLORENKOST
63;F;P;BONNEVOIE-SUD
63;M;P;BONNEVOIE-SUD
63;M;L;BELAIR
63;M;BIH;GRUND
63;F;DK;CESSANGE
63;F;L,P;BONNEVOIE-SUD
63;M;B;HOLLERICH
63;M;B;VILLE-HAUTE
63;M;I;MERL
63;F;L;BELAIR
63;F;NL;NEUDORF/WEIMERSHOF
63;M;L;BELAIR
15;M;F;ROLLINGERGRUND/BELAIR-NORD
42;M;P;ROLLINGERGRUND/BELAIR-NORD
27;M;F;BELAIR
43;M;P;VILLE-HAUTE
78;M;L;BONNEVOIE-NORD/VERLORENKOST
9;M;F;CESSANGE
53;F;CDN;VILLE-HAUTE
33;M;F;BONNEVOIE-SUD
2;F;F;BONNEVOIE-SUD
44;M;F;CESSANGE
35;F;I;BONNEVOIE-SUD
62;M;P;BEGGEN
62;F;D;MUEHLENBACH
