iter	RMSE
0	11656.10337
1	11362.15865
2	11044.84629
3	10705.11627
4	10398.03214
5	10106.6066
6	9843.985647
7	9562.924544
8	9317.14468
9	9088.522737
10	8850.61487
11	8648.222341
12	8437.117593
13	8254.702263
14	8059.996629
15	7882.17042
16	7710.951525
17	7526.125534
18	7372.514267
19	7214.690645
20	7060.335532
21	6909.379739
22	6771.814238
23	6644.094375
24	6518.863276
25	6402.485835
26	6304.761549
27	6200.184136
28	6103.235162
29	6020.667643
30	5932.034402
31	5854.363153
32	5774.725058
33	5686.817274
34	5611.546236
35	5538.174867
36	5476.855691
37	5415.553886
38	5354.913978
39	5302.188481
40	5252.576156
41	5203.287374
42	5157.430706
43	5108.928504
44	5066.258827
45	5029.610746
46	4985.779451
47	4953.296714
48	4918.460863
49	4886.709685
50	4855.44046
51	4823.49476
52	4797.53751
53	4775.309854
54	4750.188308
55	4731.182754
56	4706.778346
57	4682.965921
58	4662.669136
59	4645.727521
60	4627.468864
61	4611.357068
62	4593.10858
63	4573.135548
64	4554.609261
65	4538.929625
66	4522.507514
67	4502.934768
68	4494.374767
69	4483.07833
70	4471.961235
71	4456.917668
72	4443.566662
73	4431.921875
74	4421.30231
75	4412.463724
76	4403.844428
77	4394.178096
78	4383.924851
79	4371.798563
80	4363.516861
81	4356.212223
82	4349.585611
83	4344.437017
84	4334.857327
85	4331.004235
86	4324.111814
87	4318.785716
88	4313.007142
89	4304.166277
90	4296.661843
91	4290.058507
92	4285.055639
93	4278.48505
94	4272.07693
95	4265.039097
96	4258.258569
97	4250.875295
98	4242.50778
99	4238.090478
100	4234.789387
101	4229.536313
102	4224.906271
103	4224.257837
104	4220.814965
105	4216.244832
106	4214.812616
107	4210.59799
108	4208.297623
109	4204.03342
110	4200.856203
111	4196.345071
112	4192.314352
113	4190.885179
114	4185.529174
115	4181.294418
116	4178.659906
117	4172.810786
118	4165.185243
119	4164.625098
120	4163.168988
121	4161.161458
122	4155.399417
123	4152.418219
124	4143.054025
125	4139.255301
126	4135.137324
127	4132.459064
128	4127.59424
129	4123.091128
130	4118.540942
131	4116.290766
132	4113.768881
133	4110.599866
134	4103.732739
135	4098.176494
136	4097.578682
137	4092.597186
138	4087.431632
139	4081.964048
140	4078.078395
141	4074.461933
142	4070.596297
143	4062.759662
144	4058.525494
145	4057.594003
146	4054.221221
147	4051.123811
148	4049.378359
149	4046.014371
150	4044.390896
151	4039.717027
152	4035.913397
153	4029.743566
154	4026.929974
155	4023.560006
